
========================================================================================
  EPL (Premier League)   OOS: 218 matches
  Profitable: 255 | Losing: 1603 | Baseline rows: 14
========================================================================================

  BASELINE (no filters) per odds range:
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  away[1.7,2.0) elo<=-75 form>=2.2                        5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) xg>=1.0 elo<=-75 form>=2.2 mkt>=0.35      5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) elo<=-75 form>=2.2 mkt>=0.35              5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) elo<=-75 form>=2.2 mkt>=0.45              5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) elo<=-75 form>=2.2 mkt>=0.4               5  20.0%  1.83  -64.0% -63.4%
  away[1.7,2.0) xg>=1.0 elo<=-75 form>=2.2                5  20.0%  1.83  -64.0% -63.4%
  home[1.7,2.0) elo>=30 form>=1.8 mkt>=0.45               5  20.0%  1.80  -61.8% -64.0%
  home[1.7,2.0) elo>=30 form>=1.8                         5  20.0%  1.80  -61.8% -64.0%
  away[2.0,2.5) xg>=1.2 elo<=-30 mkt>=0.4                11  18.2%  2.11  -61.4% -61.7%
  away[2.0,2.5) xg>=1.2 mkt>=0.4                         11  18.2%  2.11  -61.4% -61.7%
  home[1.55,1.8) elo>=30 form>=1.8 mkt>=0.5               8  25.0%  1.61  -60.7% -59.7%
  home[1.55,1.8) elo>=30 form>=1.8                        8  25.0%  1.61  -60.7% -59.7%
  home[1.55,1.8) elo>=30 form>=1.8 mkt>=0.45              8  25.0%  1.61  -60.7% -59.7%
  home[2.0,2.5) elo>=75                                   5  20.0%  2.16  -60.0% -56.8%
  away[2.0,2.5) xg>=1.2 form>=1.8 mkt>=0.4                5  20.0%  2.05  -59.0% -59.0%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.5 mkt>=0.45      5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 form>=1.5 mkt>=0.45               5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 elo<=-75 mkt>=0.35                5  20.0%  2.07  -59.0% -58.6%
  away[2.0,2.5) xg>=1.2 elo<=-30 form>=1.8 mkt>=0.4       5  20.0%  2.05  -59.0% -59.0%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.45      5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.0 form>=1.5 mkt>=0.45               5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 elo<=-30 mkt>=0.45                5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 elo<=-30 form>=1.8 mkt>=0.4       5  20.0%  2.05  -59.0% -59.0%
  away[2.0,2.5) xg>=1.0 elo<=-30 form>=1.5 mkt>=0.45      5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 elo<=-75                          5  20.0%  2.07  -59.0% -58.6%
  away[2.0,2.5) xg>=1.5 mkt>=0.45                         5  20.0%  2.04  -59.0% -59.2%
  away[2.0,2.5) xg>=1.5 elo<=-75 mkt>=0.4                 5  20.0%  2.07  -59.0% -58.6%
  away[2.0,2.5) xg>=1.2 form>=1.5 mkt>=0.45               5  20.0%  2.04  -59.0% -59.2%
