
===============================================================================================================================================================================
  EPL (Premier League)
===============================================================================================================================================================================
  Filter                                                  n_tot  AvgROI%  AvgWR%   Win%   W/T  2023-08         2023-11         2024-02         2024-05         2024-08         2024-11         2025-02         2025-05         2025-08         2025-11         2026-02       
  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  ── ★ СТАБІЛЬНО ПРИБУТКОВІ (avg>0, win%>=60%)  (355) ──
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.5 mkt>=0.35        22   +18.7%   73.1%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.5 mkt>=0.4         22   +18.7%   73.1%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.5 mkt>=0.45        22   +18.7%   73.1%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  home[1.7,2.0) xg>=1.0 form>=1.5                            24   +18.2%   64.5%    80%  4/5  +22%/67%/n3     -8%/50%/n4      +55%/86%/n7     —               —               —               —               —               +12%/60%/n5     +10%/60%/n5     —              ★
  home[1.7,2.0) xg>=1.0 form>=1.5 mkt>=0.45                  24   +18.2%   64.5%    80%  4/5  +22%/67%/n3     -8%/50%/n4      +55%/86%/n7     —               —               —               —               —               +12%/60%/n5     +10%/60%/n5     —              ★
  away[1.55,1.8) xg>=1.2                                     42   +18.1%   72.7%    67%  4/6  +59%/100%/n5    +3%/62%/n8      +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.2 mkt>=0.35                           42   +18.1%   72.7%    67%  4/6  +59%/100%/n5    +3%/62%/n8      +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.2 mkt>=0.4                            42   +18.1%   72.7%    67%  4/6  +59%/100%/n5    +3%/62%/n8      +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.2 mkt>=0.45                           42   +18.1%   72.7%    67%  4/6  +59%/100%/n5    +3%/62%/n8      +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.8 elo<=-30                            24   +17.9%   72.8%    83%  5/6  +57%/100%/n3    +24%/75%/n4     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -34%/40%/n5    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 mkt>=0.35                  24   +17.9%   72.8%    83%  5/6  +57%/100%/n3    +24%/75%/n4     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -34%/40%/n5    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 mkt>=0.4                   24   +17.9%   72.8%    83%  5/6  +57%/100%/n3    +24%/75%/n4     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -34%/40%/n5    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 mkt>=0.45                  24   +17.9%   72.8%    83%  5/6  +57%/100%/n3    +24%/75%/n4     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -34%/40%/n5    ★
  away[1.55,1.8) elo<=-75 form>=1.5                          31   +17.5%   71.9%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +19%/71%/n7     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) elo<=-75 form>=1.5 mkt>=0.35                31   +17.5%   71.9%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +19%/71%/n7     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
