ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
70,2.2,2.5,0.05,53,0.5283018867924528,23.169811320754715,66,0.5,16.560606060606066,19.86520869068039
90,2.2,2.8,0.1,36,0.5277777777777778,23.277777777777782,47,0.48936170212765956,14.148936170212767,18.713356973995275
90,2.2,2.8,0.08,36,0.5277777777777778,23.277777777777782,47,0.48936170212765956,14.148936170212767,18.713356973995275
90,2.2,2.8,0.05,36,0.5277777777777778,23.277777777777782,47,0.48936170212765956,14.148936170212767,18.713356973995275
90,2.2,2.8,0.03,36,0.5277777777777778,23.277777777777782,47,0.48936170212765956,14.148936170212767,18.713356973995275
90,2.2,2.8,0.0,36,0.5277777777777778,23.277777777777782,47,0.48936170212765956,14.148936170212767,18.713356973995275
50,2.2,2.5,0.1,70,0.5142857142857142,19.985714285714284,106,0.4811320754716981,12.773584905660377,16.37964959568733
50,2.2,2.5,0.08,70,0.5142857142857142,19.985714285714284,106,0.4811320754716981,12.773584905660377,16.37964959568733
50,2.2,2.5,0.03,70,0.5142857142857142,19.985714285714284,106,0.4811320754716981,12.773584905660377,16.37964959568733
50,2.2,2.5,0.05,70,0.5142857142857142,19.985714285714284,106,0.4811320754716981,12.773584905660377,16.37964959568733
50,2.2,2.5,0.0,70,0.5142857142857142,19.985714285714284,106,0.4811320754716981,12.773584905660377,16.37964959568733
60,2.2,2.5,0.0,62,0.5161290322580645,20.62903225806451,84,0.47619047619047616,11.440476190476193,16.03475422427035
60,2.2,2.5,0.1,62,0.5161290322580645,20.62903225806451,84,0.47619047619047616,11.440476190476193,16.03475422427035
60,2.2,2.5,0.03,62,0.5161290322580645,20.62903225806451,84,0.47619047619047616,11.440476190476193,16.03475422427035
60,2.2,2.5,0.05,62,0.5161290322580645,20.62903225806451,84,0.47619047619047616,11.440476190476193,16.03475422427035
60,2.2,2.5,0.08,62,0.5161290322580645,20.62903225806451,84,0.47619047619047616,11.440476190476193,16.03475422427035
90,2.2,3.5,0.0,42,0.5,19.428571428571427,56,0.4642857142857143,12.589285714285717,16.008928571428573
90,2.2,3.5,0.03,42,0.5,19.428571428571427,56,0.4642857142857143,12.589285714285717,16.008928571428573
90,2.2,3.5,0.05,42,0.5,19.428571428571427,56,0.4642857142857143,12.589285714285717,16.008928571428573
90,2.2,3.5,0.08,42,0.5,19.428571428571427,56,0.4642857142857143,12.589285714285717,16.008928571428573
90,2.2,3.5,0.1,42,0.5,19.428571428571427,56,0.4642857142857143,12.589285714285717,16.008928571428573
120,2.0,2.5,0.1,11,0.6363636363636364,39.81818181818183,15,0.4,-10.0,14.909090909090914
120,2.0,2.5,0.08,11,0.6363636363636364,39.81818181818183,15,0.4,-10.0,14.909090909090914
120,2.0,2.5,0.03,11,0.6363636363636364,39.81818181818183,15,0.4,-10.0,14.909090909090914
120,2.0,2.5,0.05,11,0.6363636363636364,39.81818181818183,15,0.4,-10.0,14.909090909090914
120,2.0,2.5,0.0,11,0.6363636363636364,39.81818181818183,15,0.4,-10.0,14.909090909090914
90,2.2,4.0,0.0,43,0.4883720930232558,16.651162790697676,56,0.4642857142857143,12.589285714285717,14.620224252491695
90,2.2,4.0,0.03,43,0.4883720930232558,16.651162790697676,56,0.4642857142857143,12.589285714285717,14.620224252491695
90,2.2,4.0,0.05,43,0.4883720930232558,16.651162790697676,56,0.4642857142857143,12.589285714285717,14.620224252491695
90,2.2,4.0,0.08,43,0.4883720930232558,16.651162790697676,56,0.4642857142857143,12.589285714285717,14.620224252491695
90,2.2,4.0,0.1,43,0.4883720930232558,16.651162790697676,56,0.4642857142857143,12.589285714285717,14.620224252491695
80,2.0,2.5,0.08,74,0.5405405405405406,20.716216216216214,108,0.49074074074074076,8.268518518518519,14.492367367367367
80,2.0,2.5,0.1,74,0.5405405405405406,20.716216216216214,108,0.49074074074074076,8.268518518518519,14.492367367367367
80,2.0,2.5,0.03,74,0.5405405405405406,20.716216216216214,108,0.49074074074074076,8.268518518518519,14.492367367367367
80,2.0,2.5,0.05,74,0.5405405405405406,20.716216216216214,108,0.49074074074074076,8.268518518518519,14.492367367367367
80,2.0,2.5,0.0,74,0.5405405405405406,20.716216216216214,108,0.49074074074074076,8.268518518518519,14.492367367367367
90,2.0,2.5,0.0,59,0.5423728813559322,19.711864406779668,85,0.49411764705882355,8.941176470588234,14.32652043868395
90,2.0,2.5,0.03,59,0.5423728813559322,19.711864406779668,85,0.49411764705882355,8.941176470588234,14.32652043868395
90,2.0,2.5,0.05,59,0.5423728813559322,19.711864406779668,85,0.49411764705882355,8.941176470588234,14.32652043868395
90,2.0,2.5,0.08,59,0.5423728813559322,19.711864406779668,85,0.49411764705882355,8.941176470588234,14.32652043868395
90,2.0,2.5,0.1,59,0.5423728813559322,19.711864406779668,85,0.49411764705882355,8.941176470588234,14.32652043868395
90,2.0,3.0,0.08,66,0.5454545454545454,23.500000000000007,97,0.4639175257731959,4.329896907216494,13.91494845360825
90,2.0,3.0,0.0,66,0.5454545454545454,23.500000000000007,97,0.4639175257731959,4.329896907216494,13.91494845360825
90,2.0,3.0,0.03,66,0.5454545454545454,23.500000000000007,97,0.4639175257731959,4.329896907216494,13.91494845360825
90,2.0,3.0,0.05,66,0.5454545454545454,23.500000000000007,97,0.4639175257731959,4.329896907216494,13.91494845360825
90,2.0,3.0,0.1,66,0.5454545454545454,23.500000000000007,97,0.4639175257731959,4.329896907216494,13.91494845360825
80,2.2,2.8,0.03,56,0.5,19.696428571428573,68,0.45588235294117646,8.01470588235294,13.855567226890756
80,2.2,2.8,0.05,56,0.5,19.696428571428573,68,0.45588235294117646,8.01470588235294,13.855567226890756
80,2.2,2.8,0.08,56,0.5,19.696428571428573,68,0.45588235294117646,8.01470588235294,13.855567226890756
80,2.2,2.8,0.1,56,0.5,19.696428571428573,68,0.45588235294117646,8.01470588235294,13.855567226890756
80,2.2,2.8,0.0,56,0.5,19.696428571428573,68,0.45588235294117646,8.01470588235294,13.855567226890756
100,2.2,2.5,0.08,21,0.5238095238095238,20.142857142857146,24,0.4583333333333333,7.500000000000001,13.821428571428573
100,2.2,2.5,0.03,21,0.5238095238095238,20.142857142857146,24,0.4583333333333333,7.500000000000001,13.821428571428573
100,2.2,2.5,0.05,21,0.5238095238095238,20.142857142857146,24,0.4583333333333333,7.500000000000001,13.821428571428573
100,2.2,2.5,0.1,21,0.5238095238095238,20.142857142857146,24,0.4583333333333333,7.500000000000001,13.821428571428573
100,2.2,2.5,0.0,21,0.5238095238095238,20.142857142857146,24,0.4583333333333333,7.500000000000001,13.821428571428573
80,2.2,3.0,0.0,61,0.4918032786885246,19.36065573770492,75,0.44,5.933333333333335,12.646994535519127
80,2.2,3.0,0.03,61,0.4918032786885246,19.36065573770492,75,0.44,5.933333333333335,12.646994535519127
80,2.2,3.0,0.05,61,0.4918032786885246,19.36065573770492,75,0.44,5.933333333333335,12.646994535519127
80,2.2,3.0,0.1,61,0.4918032786885246,19.36065573770492,75,0.44,5.933333333333335,12.646994535519127
80,2.2,3.0,0.08,61,0.4918032786885246,19.36065573770492,75,0.44,5.933333333333335,12.646994535519127
70,2.0,2.5,0.08,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
70,2.0,2.5,0.03,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
70,2.0,2.5,0.0,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
70,2.0,2.5,0.05,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
70,2.0,2.5,0.1,89,0.5280898876404494,18.011235955056183,134,0.48507462686567165,7.037313432835822,12.524274693946001
40,2.2,2.5,0.03,77,0.5064935064935064,17.649350649350644,127,0.4566929133858268,7.259842519685042,12.454596584517843
40,2.2,2.5,0.1,77,0.5064935064935064,17.649350649350644,127,0.4566929133858268,7.259842519685042,12.454596584517843
40,2.2,2.5,0.08,77,0.5064935064935064,17.649350649350644,127,0.4566929133858268,7.259842519685042,12.454596584517843
40,2.2,2.5,0.05,77,0.5064935064935064,17.649350649350644,127,0.4566929133858268,7.259842519685042,12.454596584517843
40,2.2,2.5,0.0,77,0.5064935064935064,17.649350649350644,127,0.4566929133858268,7.259842519685042,12.454596584517843
100,2.2,3.5,0.05,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.5,0.03,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.5,0.0,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.0,0.1,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.0,0.08,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.0,0.05,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.5,0.1,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.0,0.03,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.0,0.0,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
100,2.2,3.5,0.08,24,0.5416666666666666,29.208333333333336,33,0.3939393939393939,-4.848484848484849,12.179924242424244
120,2.0,4.0,0.03,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,4.0,0.0,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,4.0,0.08,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.5,0.1,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,4.0,0.1,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.0,0.1,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.5,0.08,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.5,0.05,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.5,0.03,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,3.5,0.0,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
120,2.0,4.0,0.05,11,0.6363636363636364,39.81818181818183,16,0.375,-15.625,12.096590909090914
