date,league,side,actual,won,odds,model_prob,ev
2025-04-11 19:00:00,La Liga,home,home,True,2.2,0.6127931343829448,0.34814489564247864
2025-04-12 13:30:00,Bundesliga,away,away,True,2.25,0.5410261093822849,0.21730874611014106
2025-04-12 13:30:00,Bundesliga,home,away,False,2.45,0.5268593164738088,0.2908053253608316
2025-04-12 13:30:00,Bundesliga,home,away,False,2.1,0.6345003942116151,0.33245082784439184
2025-04-12 15:00:00,Ligue 1,home,home,True,2.0,0.6191893764896661,0.2383787529793322
2025-04-13 16:00:00,Serie A,home,home,True,1.75,0.7380039524837665,0.29150691684659136
2025-04-13 19:00:00,La Liga,home,home,True,1.91,0.6542497760989986,0.24961707234908737
2025-04-13 19:30:00,Primeira Liga,home,away,False,2.3,0.5535267297889975,0.2731114785146942
2025-04-23 16:30:00,Serie A,home,home,True,2.45,0.5371267435708292,0.31596052174853173
2025-04-23 19:30:00,La Liga,home,home,True,2.4,0.5362046748350981,0.28689121960423547
2025-04-24 17:00:00,La Liga,home,home,True,2.45,0.5195596102353194,0.2729210450765325
2025-04-24 17:00:00,La Liga,away,draw,False,2.45,0.6159295036158082,0.5090272838587302
2025-04-26 13:30:00,Bundesliga,home,away,False,2.45,0.613122769934697,0.5021507863400079
2025-04-27 10:30:00,Serie A,home,home,True,1.9,0.7133489649665418,0.3553630334364293
2025-04-27 15:15:00,Ligue 1,away,draw,False,2.45,0.4934350008610502,0.20891575210957303
2025-04-27 15:30:00,Bundesliga,home,draw,False,2.0,0.6160142225369695,0.23202844507393894
2025-04-28 18:45:00,Serie A,home,away,False,2.5,0.5151585840488456,0.2878964601221141
2025-04-29 19:30:00,Primeira Liga,home,away,False,2.4,0.5869933682032235,0.40878408368773633
2025-05-02 18:30:00,Bundesliga,home,draw,False,2.25,0.5402156922516923,0.21548530756630768
2025-05-02 19:00:00,La Liga,home,home,True,2.38,0.5919377415241874,0.40881182482756606
2025-05-03 12:00:00,La Liga,away,draw,False,2.15,0.6244863993965875,0.342645758702663
2025-05-03 13:30:00,Bundesliga,home,draw,False,2.1,0.5765624395140433,0.21078112297949092
2025-05-04 13:30:00,Bundesliga,home,away,False,1.8,0.6667103383695836,0.20007860906525043
2025-05-04 16:30:00,La Liga,away,away,True,2.2,0.5512841422071528,0.21282511285573635
2025-05-04 17:00:00,Primeira Liga,home,draw,False,2.0,0.656394188232901,0.31278837646580193
2025-05-05 19:00:00,La Liga,home,home,True,1.95,0.6565762628406411,0.28032371253925015
2025-05-09 18:45:00,Serie A,home,home,True,2.3,0.5602531176638333,0.28858217062681657
2025-05-09 19:00:00,La Liga,home,away,False,2.4,0.7091085508913912,0.701860522139339
2025-05-10 13:00:00,Serie A,home,home,True,1.73,0.7981579376673404,0.380813232164499
2025-05-10 13:30:00,Bundesliga,home,draw,False,2.35,0.5530654070294236,0.2997037065191457
2025-05-10 13:30:00,Bundesliga,away,away,True,2.3,0.5405467858355419,0.2432576074217463
2025-05-10 14:30:00,Primeira Liga,home,draw,False,1.95,0.6334416043386962,0.23521112846045766
2025-05-10 14:30:00,Primeira Liga,home,home,True,2.1,0.5728138869834783,0.20290916266530457
2025-05-10 18:45:00,Serie A,home,home,True,2.25,0.5335678443199723,0.20052764971993753
2025-05-10 19:00:00,Ligue 1,home,away,False,1.95,0.6454235498109915,0.25857592213143343
2025-05-10 19:00:00,Ligue 1,away,draw,False,2.45,0.6875907332055289,0.6845972963535458
2025-05-10 19:30:00,Primeira Liga,home,draw,False,2.25,0.66221089871757,0.4899745221145324
2025-05-11 17:00:00,Primeira Liga,home,draw,False,2.3,0.6060180546046839,0.393841525590773
2025-05-11 17:30:00,Bundesliga,home,home,True,1.57,0.892432665360359,0.40111928461576385
2025-05-13 18:00:00,La Liga,home,away,False,2.3,0.607944331767465,0.39827196306516943
2025-05-13 19:30:00,La Liga,home,home,True,1.65,0.7779057888330841,0.2835445515745887
2025-05-14 17:00:00,La Liga,home,home,True,2.2,0.5726288803850644,0.25978353684714195
2025-05-17 13:30:00,Bundesliga,home,away,False,2.3,0.6122100232326007,0.4080830534349813
2025-05-17 17:00:00,Primeira Liga,home,away,False,2.0,0.6081961633752931,0.21639232675058628
