date,league,side,odds,gap,n_factors,won,p_elo,odds_bucket,gap_bucket
2026-01-11 17:00:00,Serie A,away,2.38,81,14,True,0.685307527198391,2.30-2.40,80-90
2026-01-15 19:45:00,Serie A,away,2.3,94,17,True,0.5863769802507734,2.20-2.30,90-100
2026-01-16 19:30:00,Bundesliga,away,2.45,82,15,False,0.6078860669286438,2.40-2.50,80-90
2026-01-17 20:00:00,La Liga,away,2.5,107,19,False,0.6715027833232874,2.40-2.50,100-110
2026-01-24 17:30:00,Bundesliga,away,2.3,121,21,True,0.7183308350258466,2.20-2.30,110+
2026-01-25 14:00:00,Premier League,away,2.2,97,17,True,0.5988797835467251,2.20-2.30,90-100
2026-01-31 15:00:00,Premier League,away,2.35,91,14,True,0.7176992851282487,2.30-2.40,90-100
2026-02-03 19:45:00,Serie A,away,2.5,116,22,True,0.7140040096645852,2.40-2.50,110+
2026-02-07 14:30:00,Bundesliga,away,2.4,89,14,True,0.6328108444016252,2.30-2.40,80-90
2026-02-07 15:00:00,Premier League,away,2.35,80,14,False,0.6487452675777095,2.30-2.40,80-90
2026-02-14 15:15:00,La Liga,away,2.25,115,18,False,0.7737856015859509,2.20-2.30,110+
2026-02-15 20:00:00,La Liga,away,2.4,84,14,True,0.6898850171784312,2.30-2.40,80-90
2026-02-16 20:15:00,Primeira Liga,away,2.25,92,17,True,0.5681477993773982,2.20-2.30,90-100
2026-02-21 14:30:00,Bundesliga,away,2.38,123,20,False,0.7075470983622123,2.30-2.40,110+
2026-02-22 14:00:00,Ligue 1,away,2.4,91,16,True,0.6618713458080281,2.30-2.40,90-100
2026-02-28 17:30:00,La Liga,away,2.3,89,15,True,0.6074828552964164,2.20-2.30,80-90
2026-03-06 20:00:00,La Liga,away,2.25,93,17,True,0.6865318733669421,2.20-2.30,90-100
2026-03-08 19:45:00,Serie A,away,2.38,85,20,False,0.6413063033750526,2.30-2.40,80-90
2026-03-13 20:00:00,La Liga,away,2.2,104,16,False,0.7805049808234175,2.20-2.30,100-110
2026-03-15 11:30:00,Serie A,away,2.4,110,20,True,0.6650817907379484,2.30-2.40,100-110
2026-04-05 13:00:00,Serie A,away,2.25,126,22,True,0.5998792299376298,2.20-2.30,110+
2026-04-06 19:00:00,La Liga,away,2.25,89,15,False,0.7318325491278368,2.20-2.30,80-90
