gap_min,dom_min,odds_min,kelly_cap,bets,win_rate,avg_odds,roi,profit,bankroll
50,80,1.8,0.04,638,0.6081504702194357,2.3327429467084637,44.48,3611664.01,3612664.01
60,70,1.8,0.04,772,0.6010362694300518,2.3795336787564767,44.41,18774819.89,18775819.89
30,80,1.5,0.02,1101,0.6966394187102634,2.0606993642143507,44.14,1147578.36,1148578.36
50,80,1.7,0.03,759,0.6442687747035574,2.2387615283267452,44.13,2023140.28,2024140.28
50,70,1.7,0.04,953,0.6306400839454355,2.3056873032528857,44.02,177429482.08,177430482.08
30,70,1.8,0.04,844,0.5971563981042654,2.4222037914691943,44.02,61546563.98,61547563.98
60,70,2.2,0.06,430,0.5279069767441861,2.71260465116279,43.98,2405831.36,2406831.36
50,80,1.5,0.03,1086,0.6979742173112339,2.043793738489871,43.98,19302314.12,19303314.12
60,70,1.5,0.04,1256,0.6847133757961783,2.092277070063694,43.9,1583678151.91,1583679151.91
60,80,1.8,0.03,616,0.612012987012987,2.3141883116883117,43.84,497147.5,498147.5
60,50,1.7,0.04,990,0.6292929292929293,2.2983333333333333,43.82,211553255.03,211554255.03
60,60,1.7,0.04,990,0.6292929292929293,2.2983333333333333,43.82,211553255.03,211554255.03
60,70,2.2,0.04,430,0.5279069767441861,2.71260465116279,43.82,236969.22,237969.22
30,70,1.5,0.04,1361,0.6811168258633358,2.12287288758266,43.68,5978053018.84,5978054018.84
30,80,1.7,0.02,773,0.6429495472186287,2.259961190168176,43.63,229403.69,230403.69
30,70,1.7,0.03,989,0.6289180990899899,2.322608695652174,43.52,19142205.53,19143205.53
60,70,1.7,0.03,905,0.6320441988950276,2.286055248618785,43.47,6948627.89,6949627.89
70,80,2.0,0.02,430,0.5790697674418605,2.442581395348837,43.45,18486.61,19486.61
70,80,1.8,0.06,587,0.6132879045996593,2.291567291311755,43.4,29667448.56,29668448.56
50,80,2.2,0.02,345,0.5449275362318841,2.64368115942029,43.36,10477.68,11477.68
70,80,2.2,0.04,307,0.5472312703583062,2.589902280130293,43.35,52842.8,53842.8
50,70,1.8,0.04,812,0.5997536945812808,2.403374384236453,43.28,35393834.52,35394834.52
50,70,1.5,0.04,1322,0.6830559757942511,2.106558245083207,43.2,3356641155.99,3356642155.99
60,70,1.5,0.03,1256,0.6847133757961783,2.092277070063694,43.18,71096711.88,71097711.88
60,60,1.8,0.04,842,0.5973871733966746,2.395938242280285,43.15,41070123.76,41071123.76
60,50,1.8,0.04,842,0.5973871733966746,2.395938242280285,43.15,41070123.76,41071123.76
60,80,1.5,0.02,1060,0.7018867924528301,2.0282924528301884,43.13,829364.88,830364.88
60,50,1.5,0.04,1352,0.6819526627218935,2.1098002958579882,43.12,3970913573.47,3970914573.47
60,60,1.5,0.04,1352,0.6819526627218935,2.1098002958579882,43.12,3970913573.47,3970914573.47
60,70,2.2,0.03,430,0.5279069767441861,2.71260465116279,43.1,66632.48,67632.48
30,70,1.5,0.03,1361,0.6811168258633358,2.12287288758266,43.04,204018469.29,204019469.29
30,70,1.8,0.03,844,0.5971563981042654,2.4222037914691943,42.85,5051852.05,5052852.05
80,60,2.0,0.02,344,0.5959302325581395,2.379563953488372,42.84,11267.48,12267.48
80,70,2.0,0.02,344,0.5959302325581395,2.379563953488372,42.84,11267.48,12267.48
80,50,2.0,0.02,344,0.5959302325581395,2.379563953488372,42.84,11267.48,12267.48
80,80,2.0,0.02,344,0.5959302325581395,2.379563953488372,42.84,11267.48,12267.48
70,80,1.5,0.06,1017,0.704031465093412,2.0125368731563418,42.83,7749682547.44,7749683547.44
60,70,1.8,0.03,772,0.6010362694300518,2.3795336787564767,42.82,1983884.86,1984884.86
80,60,1.7,0.06,590,0.6644067796610169,2.1479152542372884,42.73,46114912.58,46115912.58
80,70,1.7,0.06,590,0.6644067796610169,2.1479152542372884,42.73,46114912.58,46115912.58
80,50,1.7,0.06,590,0.6644067796610169,2.1479152542372884,42.73,46114912.58,46115912.58
80,80,1.7,0.06,590,0.6644067796610169,2.1479152542372884,42.73,46114912.58,46115912.58
50,70,1.7,0.03,953,0.6306400839454355,2.3056873032528857,42.72,12219241.24,12220241.24
60,80,1.7,0.02,734,0.6485013623978202,2.2223705722070846,42.7,167469.28,168469.28
50,80,1.8,0.03,638,0.6081504702194357,2.3327429467084637,42.65,566238.03,567238.03
60,60,1.7,0.03,990,0.6292929292929293,2.2983333333333333,42.62,13967261.85,13968261.85
60,50,1.7,0.03,990,0.6292929292929293,2.2983333333333333,42.62,13967261.85,13968261.85
50,70,1.5,0.03,1322,0.6830559757942511,2.106558245083207,42.52,130236703.81,130237703.81
50,80,1.5,0.02,1086,0.6979742173112339,2.043793738489871,42.51,940323.67,941323.67
50,70,2.2,0.04,459,0.5228758169934641,2.7438126361655772,42.45,352815.29,353815.29
60,50,1.5,0.03,1352,0.6819526627218935,2.1098002958579882,42.4,147632155.56,147633155.56
60,60,1.5,0.03,1352,0.6819526627218935,2.1098002958579882,42.4,147632155.56,147633155.56
70,60,2.0,0.02,472,0.5741525423728814,2.4814406779661016,42.34,25851.54,26851.54
70,50,2.0,0.02,472,0.5741525423728814,2.4814406779661016,42.34,25851.54,26851.54
70,70,2.0,0.02,472,0.5741525423728814,2.4814406779661016,42.34,25851.54,26851.54
30,70,2.2,0.04,480,0.5208333333333334,2.7702083333333336,42.33,527701.88,528701.88
30,70,2.2,0.03,480,0.5208333333333334,2.7702083333333336,42.27,124723.76,125723.76
30,80,1.8,0.02,651,0.6067588325652842,2.3568663594470043,42.21,92346.63,93346.63
70,80,1.7,0.04,700,0.6485714285714286,2.2029714285714284,42.2,7178084.82,7179084.82
50,70,2.2,0.06,459,0.5228758169934641,2.7438126361655772,42.17,4124440.72,4125440.72
50,70,2.2,0.03,459,0.5228758169934641,2.7438126361655772,42.11,91124.0,92124.0
30,70,1.5,0.02,1361,0.6811168258633358,2.12287288758266,42.08,4866561.98,4867561.98
70,80,2.2,0.03,307,0.5472312703583062,2.589902280130293,41.98,20428.28,21428.28
60,70,1.5,0.02,1256,0.6847133757961783,2.092277070063694,41.97,2310701.35,2311701.35
50,70,1.8,0.03,812,0.5997536945812808,2.403374384236453,41.94,3295600.98,3296600.98
60,50,1.8,0.03,842,0.5973871733966746,2.395938242280285,41.89,3646762.7,3647762.7
60,60,1.8,0.03,842,0.5973871733966746,2.395938242280285,41.89,3646762.7,3647762.7
80,80,1.5,0.06,874,0.7185354691075515,1.9670594965675057,41.86,1788353241.49,1788354241.49
80,60,1.5,0.06,874,0.7185354691075515,1.9670594965675057,41.86,1788353241.49,1788354241.49
70,80,1.5,0.04,1017,0.704031465093412,2.0125368731563418,41.86,120844497.38,120845497.38
80,70,1.5,0.06,874,0.7185354691075515,1.9670594965675057,41.86,1788353241.49,1788354241.49
80,50,1.5,0.06,874,0.7185354691075515,1.9670594965675057,41.86,1788353241.49,1788354241.49
50,80,1.7,0.02,759,0.6442687747035574,2.2387615283267452,41.74,187828.6,188828.6
30,70,1.7,0.02,989,0.6289180990899899,2.322608695652174,41.72,896356.72,897356.72
30,70,2.2,0.06,480,0.5208333333333334,2.7702083333333336,41.67,7219370.18,7220370.18
70,80,1.5,0.03,1017,0.704031465093412,2.0125368731563418,41.6,9766668.02,9767668.02
70,50,1.7,0.06,770,0.6428571428571429,2.227064935064935,41.57,737506721.53,737507721.53
70,60,1.7,0.06,770,0.6428571428571429,2.227064935064935,41.57,737506721.53,737507721.53
70,70,1.7,0.06,770,0.6428571428571429,2.227064935064935,41.57,737506721.53,737507721.53
60,60,1.5,0.02,1352,0.6819526627218935,2.1098002958579882,41.53,3919534.0,3920534.0
60,50,1.5,0.02,1352,0.6819526627218935,2.1098002958579882,41.53,3919534.0,3920534.0
50,70,1.5,0.02,1322,0.6830559757942511,2.106558245083207,41.5,3579459.3,3580459.3
80,50,2.2,0.06,231,0.5584415584415584,2.5279653679653675,41.48,85617.15,86617.15
80,60,2.2,0.06,231,0.5584415584415584,2.5279653679653675,41.48,85617.15,86617.15
80,80,2.2,0.06,231,0.5584415584415584,2.5279653679653675,41.48,85617.15,86617.15
80,70,2.2,0.06,231,0.5584415584415584,2.5279653679653675,41.48,85617.15,86617.15
60,70,2.2,0.02,430,0.5279069767441861,2.71260465116279,41.4,16915.38,17915.38
30,70,2.2,0.02,480,0.5208333333333334,2.7702083333333336,41.37,26483.23,27483.23
60,80,1.8,0.02,616,0.612012987012987,2.3141883116883117,41.33,68305.4,69305.4
60,70,1.7,0.02,905,0.6320441988950276,2.286055248618785,41.28,439541.6,440541.6
70,80,1.8,0.04,587,0.6132879045996593,2.291567291311755,41.27,1709558.02,1710558.02
70,80,1.7,0.03,700,0.6485714285714286,2.2029714285714284,41.19,1012802.18,1013802.18
30,70,1.8,0.02,844,0.5971563981042654,2.4222037914691943,41.07,343979.63,344979.63
60,60,1.7,0.02,990,0.6292929292929293,2.2983333333333333,41.03,727113.01,728113.01
60,50,1.7,0.02,990,0.6292929292929293,2.2983333333333333,41.03,727113.01,728113.01
60,60,2.2,0.03,469,0.5223880597014925,2.743923240938166,41.03,99206.89,100206.89
60,50,2.2,0.03,469,0.5223880597014925,2.743923240938166,41.03,99206.89,100206.89
70,70,1.5,0.06,1098,0.697632058287796,2.037750455373406,40.95,35839583340.76,35839584340.76
70,60,1.5,0.06,1098,0.697632058287796,2.037750455373406,40.95,35839583340.76,35839584340.76
70,50,1.5,0.06,1098,0.697632058287796,2.037750455373406,40.95,35839583340.76,35839584340.76
50,70,2.2,0.02,459,0.5228758169934641,2.7438126361655772,40.92,21189.06,22189.06
50,70,1.7,0.02,953,0.6306400839454355,2.3056873032528857,40.84,659073.61,660073.61
70,80,1.5,0.02,1017,0.704031465093412,2.0125368731563418,40.72,583208.2,584208.2
80,60,1.5,0.04,874,0.7185354691075515,1.9670594965675057,40.7,39870158.78,39871158.78
80,50,1.5,0.04,874,0.7185354691075515,1.9670594965675057,40.7,39870158.78,39871158.78
80,70,1.5,0.04,874,0.7185354691075515,1.9670594965675057,40.7,39870158.78,39871158.78
80,80,1.5,0.04,874,0.7185354691075515,1.9670594965675057,40.7,39870158.78,39871158.78
60,50,2.2,0.02,469,0.5223880597014925,2.743923240938166,40.66,22498.67,23498.67
70,70,1.8,0.06,650,0.6123076923076923,2.3166153846153845,40.66,114105463.93,114106463.93
70,60,1.8,0.06,650,0.6123076923076923,2.3166153846153845,40.66,114105463.93,114106463.93
