features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_basic+xg+standings+rest,4,42,0.03,2.2,322,52.2,-2.43,-5.87,941.31
form_basic+form_adv+elo+standings+rest,5,48,0.03,3.0,814,43.6,-2.44,-1.32,986.78
form_adv+xg+elo+rest,4,40,0.08,2.2,222,52.3,-2.44,-5.29,947.14
xg+elo+standings+rest+market_ext,5,35,0.1,2.2,199,51.3,-2.45,-2.34,976.61
form_basic+form_adv+xg+elo+standings+rest,6,62,0.03,3.0,850,43.8,-2.45,-3.17,968.28
form_basic+form_adv+xg+rest,4,49,0.15,3.0,466,41.6,-2.46,-8.18,918.22
elo+standings+market_ext,3,18,0.05,2.2,223,52.0,-2.46,-2.21,977.95
elo+standings+rest,3,19,0.08,3.0,609,42.4,-2.46,-3.69,963.14
form_basic+standings,2,25,0.08,3.0,614,41.9,-2.47,-9.96,900.41
elo,1,8,0.03,3.0,839,43.5,-2.48,-8.06,919.4
form_basic+form_adv,2,32,0.15,3.0,456,40.8,-2.48,-7.31,926.88
form_adv+xg+elo+standings+rest+market_ext,6,50,0.03,2.2,334,52.4,-2.49,-4.17,958.33
form_basic+form_adv+xg+standings+market_ext,5,56,0.03,2.2,340,52.6,-2.52,-3.24,967.6
form_basic+xg+standings+rest,4,42,0.15,3.0,458,41.5,-2.53,-7.66,923.44
form_adv+xg+elo+standings+rest+market_ext,6,50,0.1,2.2,212,51.9,-2.53,-4.37,956.25
form_basic+elo+standings+market_ext,4,32,0.08,3.0,647,42.2,-2.53,-8.07,919.28
form_basic+standings,2,25,0.03,3.0,795,42.9,-2.54,-10.17,898.35
form_basic+form_adv+elo+rest,4,40,0.05,2.2,256,51.6,-2.54,-2.17,978.35
form_basic+elo+standings+rest,4,33,0.05,2.2,242,51.2,-2.55,-2.52,974.75
form_basic+form_adv+standings+rest+market_ext,5,45,0.03,2.2,307,51.8,-2.55,-8.41,915.92
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.03,2.2,299,52.2,-2.56,-6.16,938.43
standings,1,11,0.05,2.2,200,52.5,-2.57,-2.92,970.84
form_adv+standings+rest+market_ext,4,31,0.2,2.2,77,50.6,-2.57,-4.39,956.05
form_basic+form_adv+xg,3,46,0.05,2.2,311,52.4,-2.57,-4.27,957.28
form_basic+form_adv+standings+rest+market_ext,5,45,0.12,3.0,547,41.5,-2.58,-6.18,938.18
form_basic+form_adv+rest+market_ext,4,37,0.03,3.0,879,43.2,-2.58,-6.06,939.4
form_adv+xg+rest+market_ext,4,37,0.08,2.5,458,47.6,-2.58,-5.93,940.7
form_adv+xg+elo+standings,4,45,0.05,2.2,284,52.1,-2.58,-3.36,966.41
form_adv+xg+standings+rest+market_ext,5,45,0.1,3.0,728,42.7,-2.59,-7.43,925.72
form_adv+xg+elo+rest,4,40,0.05,2.2,276,52.2,-2.59,-5.35,946.54
elo+standings+market_ext,3,18,0.15,3.0,405,41.0,-2.6,-8.19,918.11
standings+market_ext,2,13,0.15,3.0,329,39.8,-2.6,-8.02,919.76
form_basic+form_adv+standings+rest+market_ext,5,45,0.15,2.5,257,45.5,-2.6,-5.35,946.49
elo+standings+rest,3,19,0.08,2.2,180,51.7,-2.61,-2.57,974.33
form_basic+form_adv+elo+market_ext,4,39,0.03,2.2,302,51.7,-2.61,-0.75,992.45
form_adv+xg+elo+standings+rest,5,48,0.05,2.2,291,52.2,-2.63,-1.34,986.57
form_basic+xg+rest+market_ext,4,36,0.2,2.5,193,46.1,-2.65,-5.13,948.71
form_basic+xg+market_ext,3,33,0.2,2.5,190,45.8,-2.65,-5.78,942.21
form_basic+rest,2,20,0.2,2.2,67,50.7,-2.66,-4.5,955.01
xg+rest+market_ext,3,22,0.12,3.0,573,42.4,-2.66,-5.79,942.05
form_basic+form_adv+xg+standings+rest,5,57,0.08,3.0,697,43.2,-2.68,-6.61,933.86
form_basic+form_adv+standings+rest,4,43,0.12,2.5,326,46.0,-2.68,-4.87,951.31
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.08,3.0,663,42.5,-2.68,-7.73,922.66
rest,1,6,0.03,3.0,867,42.8,-2.69,-5.36,946.35
xg+standings+rest,3,28,0.12,2.2,189,51.3,-2.69,-4.45,955.5
form_basic+elo+market_ext,3,24,0.03,2.5,506,47.2,-2.69,-4.14,958.55
form_basic+form_adv+elo+rest,4,40,0.05,3.0,740,42.7,-2.7,-3.24,967.56
form_basic+elo+market_ext,3,24,0.15,2.2,111,50.5,-2.7,-4.14,958.64
xg+elo+standings+rest,4,33,0.05,2.2,278,51.4,-2.7,-2.72,972.79
form_basic+form_adv+standings+rest,4,43,0.03,2.5,562,47.3,-2.71,-6.91,930.93
xg+standings+market_ext,3,27,0.15,3.0,524,41.4,-2.71,-11.22,887.85
form_basic+form_adv+xg+elo+rest,5,54,0.15,2.2,129,51.2,-2.73,-5.26,947.4
form_adv+xg+elo+standings+rest+market_ext,6,50,0.08,2.2,248,52.0,-2.73,-4.63,953.71
form_basic+form_adv+standings+rest+market_ext,5,45,0.1,3.0,622,41.6,-2.73,-7.23,927.69
standings+market_ext,2,13,0.1,3.0,483,41.0,-2.73,-7.4,926.01
form_adv+xg+market_ext,3,34,0.15,99.0,1235,29.4,-2.74,-6.5,934.96
form_basic+form_adv+rest,3,35,0.12,3.0,543,42.0,-2.74,-5.06,949.36
form_basic+xg+market_ext,3,33,0.1,2.2,203,51.7,-2.74,-4.92,950.82
form_basic+form_adv+rest,3,35,0.15,3.0,446,41.0,-2.74,-5.96,940.4
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.12,2.2,167,51.5,-2.76,-4.31,956.88
form_basic+rest+market_ext,3,22,0.08,2.5,406,46.8,-2.77,-6.84,931.62
form_basic+form_adv+rest+market_ext,4,37,0.08,2.5,400,46.8,-2.77,-4.92,950.76
form_basic+form_adv+xg+elo+rest,5,54,0.15,3.0,436,42.0,-2.77,-8.32,916.75
form_basic+form_adv+elo+rest+market_ext,5,42,0.05,3.0,743,42.8,-2.79,-4.67,953.29
form_adv+standings+rest+market_ext,4,31,0.1,2.2,170,51.8,-2.79,-2.92,970.83
form_basic+standings,2,25,0.15,2.5,199,45.7,-2.8,-6.1,939.02
form_basic+xg+rest+market_ext,4,36,0.03,2.2,358,52.2,-2.8,-6.18,938.19
form_basic+standings+rest+market_ext,4,30,0.03,2.5,522,47.1,-2.81,-7.17,928.29
form_basic+xg+elo+rest,4,39,0.03,2.2,299,52.2,-2.81,-5.62,943.77
form_basic,1,17,0.1,2.5,362,45.9,-2.81,-9.68,903.23
form_basic+xg+elo+rest+market_ext,5,41,0.15,2.5,245,45.7,-2.82,-6.17,938.32
form_basic+standings,2,25,0.15,3.0,412,40.5,-2.83,-9.12,908.77
xg+elo+rest,3,25,0.08,2.2,213,51.2,-2.83,-3.27,967.31
form_basic+form_adv+xg+rest+market_ext,5,51,0.03,2.2,365,52.3,-2.84,-5.14,948.63
rest+market_ext,2,8,0.05,3.0,787,42.6,-2.85,-4.92,950.84
form_basic+elo+standings+rest+market_ext,5,35,0.15,2.2,135,50.4,-2.86,-3.88,961.16
form_basic+elo+rest,3,25,0.05,2.2,266,51.5,-2.86,-2.12,978.8
form_basic+form_adv+xg+elo,4,51,0.05,2.2,272,51.8,-2.87,-2.21,977.93
form_basic+form_adv+xg+market_ext,4,48,0.15,2.5,269,46.5,-2.87,-6.33,936.69
standings+rest,2,14,0.05,3.0,690,42.5,-2.87,-3.72,962.82
form_basic+form_adv+xg+standings+rest,5,57,0.03,2.2,347,52.4,-2.89,-8.09,919.06
form_basic+form_adv+xg+elo+standings+rest,6,62,0.08,2.2,232,51.7,-2.9,-3.17,968.32
form_basic+elo,2,22,0.1,2.5,326,46.3,-2.9,-4.77,952.33
form_adv+xg,2,32,0.15,2.5,274,46.4,-2.9,-7.17,928.29
elo+rest,2,11,0.03,3.0,829,43.3,-2.9,-4.5,955.04
form_basic+xg+rest,3,34,0.12,2.2,163,51.5,-2.9,-5.56,944.37
form_basic+xg+rest,3,34,0.15,3.0,461,41.2,-2.9,-7.14,928.56
form_basic+form_adv+standings,3,40,0.2,2.5,183,44.3,-2.91,-5.77,942.32
form_basic+form_adv+elo+rest+market_ext,5,42,0.03,3.0,818,43.2,-2.91,-4.47,955.33
form_adv+xg+elo+rest,4,40,0.12,2.2,159,51.6,-2.91,-6.9,931.04
form_basic+elo+standings+rest+market_ext,5,35,0.2,2.2,79,49.4,-2.93,-4.15,958.47
form_basic+xg+elo+standings+market_ext,5,46,0.12,2.2,174,51.1,-2.94,-4.67,953.25
form_basic+market_ext,2,19,0.03,3.0,883,43.4,-2.94,-11.03,889.66
elo+market_ext,2,10,0.03,3.0,829,42.7,-2.95,-7.94,920.56
form_adv+xg+elo+standings,4,45,0.12,99.0,1549,28.5,-2.95,-3.57,964.26
form_basic+standings,2,25,0.2,2.5,124,45.2,-2.95,-5.84,941.6
xg+rest+market_ext,3,22,0.2,2.2,102,51.0,-2.97,-4.6,953.99
xg+market_ext,2,19,0.03,2.2,360,51.9,-2.97,-6.73,932.75
form_basic+form_adv+xg+standings+rest,5,57,0.1,3.0,628,42.4,-2.99,-7.51,924.95
form_basic,1,17,0.05,3.0,798,43.1,-3.0,-10.46,895.41
form_basic+rest,2,20,0.08,2.2,221,51.1,-3.0,-5.41,945.93
form_adv+xg+rest+market_ext,4,37,0.1,2.5,403,47.1,-3.01,-5.92,940.78
form_basic+xg+elo+standings+rest+market_ext,6,49,0.03,2.2,303,51.2,-3.01,-4.65,953.52
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.05,3.0,828,43.6,-3.02,-9.95,900.51
form_basic+elo+standings,3,30,0.08,3.0,618,42.1,-3.02,-11.32,886.77
form_basic+rest,2,20,0.03,2.2,345,51.6,-3.02,-4.86,951.39
form_basic+xg+rest+market_ext,4,36,0.05,3.0,812,43.3,-3.03,-8.42,915.82
form_adv+xg+elo+standings+rest,5,48,0.03,2.2,318,51.9,-3.03,-1.93,980.73
form_basic+xg+elo+market_ext,4,38,0.2,3.0,332,39.8,-3.04,-10.02,899.79
form_basic+xg+elo,3,36,0.05,2.2,265,51.7,-3.06,-5.19,948.06
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.05,2.2,289,52.2,-3.06,-4.49,955.08
form_basic+form_adv+xg+rest,4,49,0.03,3.0,885,43.3,-3.06,-8.0,920.04
xg,1,17,0.1,99.0,1558,30.3,-3.07,-6.08,939.2
form_basic+form_adv+elo+market_ext,4,39,0.1,2.2,168,50.6,-3.08,-2.64,973.62
form_basic+xg+rest,3,34,0.1,3.0,612,42.2,-3.08,-6.36,936.37
form_basic+form_adv+standings+market_ext,4,42,0.12,2.5,303,45.5,-3.09,-5.62,943.83
elo+market_ext,2,10,0.05,3.0,753,42.2,-3.11,-8.27,917.29
form_basic+form_adv+xg+rest,4,49,0.05,2.2,281,52.3,-3.12,-6.52,934.78
standings+rest,2,14,0.08,2.2,183,51.4,-3.12,-3.52,964.77
form_adv+xg+elo+standings+rest+market_ext,6,50,0.05,2.2,293,51.9,-3.12,-4.4,955.97
form_basic+form_adv+standings+rest+market_ext,5,45,0.08,3.0,684,41.7,-3.13,-7.51,924.89
rest+market_ext,2,8,0.03,3.0,858,42.5,-3.14,-5.17,948.26
form_basic+xg+rest,3,34,0.05,2.2,298,52.0,-3.14,-6.79,932.13
form_basic+form_adv+xg+elo+standings+rest,6,62,0.05,2.2,293,52.2,-3.15,-3.45,965.46
form_basic+xg+market_ext,3,33,0.03,2.2,353,52.1,-3.16,-4.08,959.19
form_adv+xg+elo+standings,4,45,0.15,99.0,1410,28.0,-3.16,-3.45,965.52
form_basic+form_adv+xg+rest,4,49,0.05,3.0,794,43.2,-3.17,-7.39,926.11
market_ext,1,5,0.15,2.5,207,45.4,-3.17,-5.76,942.35
form_basic+form_adv+elo,3,37,0.05,3.0,744,42.2,-3.17,-3.65,963.51
form_basic+elo,2,22,0.08,2.2,204,51.0,-3.18,-4.26,957.42
elo+standings+market_ext,3,18,0.12,3.0,494,41.1,-3.18,-8.77,912.31
form_basic+xg+elo+rest,4,39,0.05,3.0,767,42.6,-3.19,-7.56,924.37
xg+market_ext,2,19,0.1,3.0,660,42.6,-3.19,-6.85,931.51
form_basic+xg+elo+standings,4,44,0.12,2.2,161,50.9,-3.2,-4.78,952.17
form_basic+rest,2,20,0.12,2.2,150,50.7,-3.21,-5.22,947.81
form_adv+xg+standings+rest+market_ext,5,45,0.12,3.0,666,42.2,-3.21,-7.77,922.31
form_basic+form_adv+standings+market_ext,4,42,0.05,2.2,283,51.2,-3.22,-4.13,958.69
form_adv+standings+rest+market_ext,4,31,0.15,2.2,111,50.5,-3.23,-4.64,953.59
elo,1,8,0.08,2.2,225,51.1,-3.23,-4.39,956.14
form_basic+elo+standings+rest+market_ext,5,35,0.1,3.0,612,42.5,-3.24,-7.17,928.34
rest,1,6,0.03,2.2,287,51.2,-3.24,-6.32,936.77
form_basic+form_adv+xg+rest+market_ext,5,51,0.08,3.0,723,42.7,-3.24,-5.42,945.79
form_basic+form_adv+market_ext,3,34,0.03,3.0,914,43.0,-3.25,-9.0,909.97
form_basic+form_adv+xg+standings+market_ext,5,56,0.1,2.2,212,51.9,-3.25,-4.45,955.54
form_basic+elo,2,22,0.08,3.0,644,42.1,-3.27,-11.51,884.92
form_basic+xg+market_ext,3,33,0.15,3.0,492,41.5,-3.27,-7.72,922.77
form_basic+xg+elo+rest,4,39,0.08,3.0,674,42.4,-3.27,-7.49,925.11
xg,1,17,0.15,99.0,1281,28.9,-3.28,-6.39,936.14
xg,1,17,0.2,99.0,1025,28.0,-3.3,-6.57,934.26
form_basic+form_adv+elo,3,37,0.03,3.0,830,42.7,-3.3,-3.44,965.62
form_basic+form_adv+xg+elo+standings,5,59,0.12,2.2,157,51.0,-3.3,-4.89,951.09
elo+standings+market_ext,3,18,0.12,2.2,124,50.8,-3.3,-4.29,957.08
form_basic+form_adv+rest+market_ext,4,37,0.15,3.0,470,40.9,-3.31,-5.6,943.97
standings,1,11,0.2,2.5,103,44.7,-3.31,-5.98,940.21
form_basic+xg+elo+market_ext,4,38,0.1,3.0,603,41.5,-3.32,-8.72,912.83
xg+rest,2,20,0.03,2.2,349,51.9,-3.32,-4.98,950.19
form_basic+xg+elo+market_ext,4,38,0.03,2.2,292,51.4,-3.32,-7.24,927.56
form_basic+form_adv+xg+standings+market_ext,5,56,0.08,2.2,240,51.7,-3.32,-4.32,956.76
xg+rest+market_ext,3,22,0.15,3.0,482,41.5,-3.33,-6.76,932.36
form_adv+xg+market_ext,3,34,0.08,99.0,1600,31.2,-3.33,-5.46,945.4
xg+market_ext,2,19,0.05,99.0,1868,31.3,-3.33,-7.95,920.51
market_ext,1,5,0.05,3.0,737,41.7,-3.36,-6.72,932.84
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.15,3.0,475,41.7,-3.36,-8.6,914.0
form_adv+xg+elo+rest,4,40,0.2,2.2,79,50.6,-3.37,-6.44,935.62
standings,1,11,0.15,3.0,352,39.8,-3.37,-7.06,929.42
form_basic+rest+market_ext,3,22,0.03,3.0,874,43.2,-3.37,-10.83,891.72
form_basic+standings,2,25,0.05,3.0,717,42.0,-3.38,-10.48,895.2
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.08,2.2,216,51.4,-3.38,-7.23,927.68
form_basic,1,17,0.03,2.2,354,51.4,-3.39,-6.45,935.49
form_adv+xg+elo+standings,4,45,0.1,99.0,1662,29.1,-3.39,-3.97,960.33
form_basic+xg+rest+market_ext,4,36,0.1,2.2,223,51.6,-3.39,-5.53,944.71
market_only,0,3,0.2,3.0,320,39.7,-3.4,-6.65,933.54
form_adv+xg,2,32,0.2,2.2,82,51.2,-3.4,-6.2,938.02
elo+rest+market_ext,3,13,0.05,2.2,242,50.8,-3.41,0.0,1000.05
form_adv+xg,2,32,0.2,3.0,359,40.9,-3.41,-6.44,935.57
form_basic+xg+elo+rest,4,39,0.1,3.0,618,41.7,-3.41,-7.89,921.12
form_basic+form_adv+rest,3,35,0.1,3.0,603,42.0,-3.42,-5.54,944.6
form_basic+elo+rest,3,25,0.03,2.2,303,51.5,-3.42,-2.07,979.31
form_basic+form_adv+xg+standings,4,54,0.05,2.2,342,52.3,-3.43,-5.67,943.27
form_basic+xg+elo,3,36,0.2,3.0,332,40.4,-3.43,-8.64,913.59
form_basic+form_adv+standings+rest+market_ext,5,45,0.12,2.5,307,45.6,-3.44,-5.77,942.3
form_basic+form_adv+market_ext,3,34,0.03,2.5,587,47.0,-3.44,-7.77,922.25
form_adv+xg+elo+standings,4,45,0.1,2.2,197,51.8,-3.44,-3.05,969.54
form_basic+rest,2,20,0.03,3.0,871,43.4,-3.45,-9.88,901.22
form_basic+form_adv+elo,3,37,0.03,2.2,293,51.2,-3.45,-3.08,969.19
xg,1,17,0.08,99.0,1687,30.6,-3.46,-6.24,937.59
form_basic+standings+rest,3,28,0.15,2.5,244,45.5,-3.46,-8.71,912.86
form_basic+elo+standings+market_ext,4,32,0.15,3.0,450,40.9,-3.47,-8.15,918.45
form_adv+xg,2,32,0.15,3.0,485,41.6,-3.47,-7.41,925.94
form_basic+standings,2,25,0.05,2.5,422,46.4,-3.48,-7.76,922.38
standings,1,11,0.03,2.2,229,52.0,-3.48,-3.32,966.78
xg+standings,2,25,0.12,3.0,597,41.5,-3.49,-9.98,900.18
form_basic+elo+standings+rest+market_ext,5,35,0.15,3.0,468,41.5,-3.49,-9.56,904.44
form_basic+form_adv+xg+elo+market_ext,5,53,0.12,2.2,182,51.6,-3.5,-5.92,940.76
form_basic+form_adv+elo+rest,4,40,0.03,3.0,832,42.9,-3.5,-3.39,966.08
form_basic+xg+elo+market_ext,4,38,0.08,3.0,668,41.6,-3.52,-8.39,916.07
form_basic+standings+rest+market_ext,4,30,0.05,2.5,467,46.7,-3.52,-7.39,926.1
form_basic+form_adv+xg+elo+rest,5,54,0.03,2.2,299,52.2,-3.53,-4.82,951.77
form_adv+xg+standings,3,40,0.05,2.2,292,52.1,-3.53,-5.86,941.44
form_basic+form_adv+xg+elo+market_ext,5,53,0.2,2.2,102,51.0,-3.53,-6.4,935.97
elo+standings+market_ext,3,18,0.1,3.0,540,41.3,-3.55,-8.72,912.82
form_basic+form_adv+xg+elo+market_ext,5,53,0.05,2.2,293,52.2,-3.56,-4.72,952.79
form_basic+xg+elo+market_ext,4,38,0.12,2.2,143,50.3,-3.57,-6.04,939.55
elo+rest+market_ext,3,13,0.03,3.0,801,42.4,-3.58,-2.69,973.14
standings+rest+market_ext,3,16,0.1,3.0,525,41.3,-3.58,-8.26,917.4
form_basic+market_ext,2,19,0.05,2.5,504,46.8,-3.58,-8.53,914.75
form_basic,1,17,0.05,2.2,294,51.0,-3.6,-6.69,933.1
form_basic+form_adv+xg+market_ext,4,48,0.12,2.2,186,51.6,-3.61,-7.38,926.17
form_basic+elo+rest,3,25,0.08,3.0,615,42.3,-3.61,-6.6,933.95
form_basic+standings+market_ext,3,27,0.1,2.5,342,46.2,-3.63,-6.22,937.82
xg,1,17,0.03,99.0,2034,32.1,-3.65,-5.71,942.89
form_basic+elo+standings+market_ext,4,32,0.1,3.0,590,41.5,-3.65,-9.04,909.64
form_basic+xg+elo+standings+market_ext,5,46,0.05,2.2,292,51.7,-3.66,-3.81,961.9
form_basic+rest,2,20,0.08,3.0,663,42.4,-3.66,-10.39,896.14
form_basic+xg+rest,3,34,0.08,3.0,683,42.2,-3.66,-7.02,929.78
form_basic+standings+rest,3,28,0.03,2.5,517,46.8,-3.67,-8.41,915.85
form_adv+xg+market_ext,3,34,0.03,2.2,353,52.1,-3.67,-5.9,940.98
form_basic+form_adv+xg+rest,4,49,0.08,3.0,694,42.7,-3.67,-8.03,919.66
form_basic+form_adv+rest+market_ext,4,37,0.05,3.0,785,42.5,-3.68,-5.99,940.08
rest+market_ext,2,8,0.03,2.2,293,50.9,-3.69,-2.07,979.33
elo+standings,2,16,0.15,2.2,82,50.0,-3.7,-5.25,947.49
xg+standings+rest,3,28,0.03,2.2,335,51.3,-3.71,-7.9,920.97
form_adv+xg+elo+standings,4,45,0.03,99.0,2049,30.7,-3.71,-3.94,960.56
form_basic+form_adv+standings,3,40,0.2,3.0,354,39.8,-3.71,-7.12,928.83
form_basic+elo,2,22,0.03,2.2,300,51.0,-3.71,-5.29,947.08
form_basic+elo+rest+market_ext,4,27,0.15,3.0,405,41.0,-3.72,-7.24,927.55
form_basic+form_adv+xg+elo+rest,5,54,0.08,2.2,221,51.6,-3.73,-5.06,949.45
form_basic+xg+elo+rest,4,39,0.15,2.2,126,50.0,-3.73,-6.36,936.39
form_basic+xg+elo+rest+market_ext,5,41,0.05,2.2,289,51.2,-3.73,-5.46,945.35
market_ext,1,5,0.12,3.0,513,40.7,-3.74,-5.36,946.38
form_adv+xg+elo+standings,4,45,0.08,99.0,1757,29.5,-3.74,-3.98,960.16
form_basic+elo+rest+market_ext,4,27,0.03,2.2,290,51.0,-3.77,-4.98,950.23
form_basic+form_adv+elo,3,37,0.08,2.2,185,50.3,-3.77,-3.17,968.27
form_basic+elo+rest,3,25,0.2,3.0,299,40.8,-3.77,-6.27,937.28
form_basic+form_adv+rest+market_ext,4,37,0.1,2.2,186,50.5,-3.77,-5.27,947.34
form_basic+rest+market_ext,3,22,0.1,2.2,194,51.0,-3.78,-5.96,940.35
form_basic+xg+rest+market_ext,4,36,0.12,3.0,572,42.0,-3.78,-8.78,912.16
elo+rest+market_ext,3,13,0.05,3.0,734,42.1,-3.78,-2.53,974.7
xg+standings+market_ext,3,27,0.2,3.0,391,40.2,-3.79,-12.74,872.58
form_basic+form_adv+xg+market_ext,4,48,0.15,3.0,493,41.2,-3.8,-8.75,912.5
elo,1,8,0.05,2.2,270,51.1,-3.81,-5.0,949.99
form_adv+rest+market_ext,3,23,0.05,2.2,279,51.6,-3.81,-3.19,968.13
xg+elo+standings+rest,4,33,0.03,2.2,311,51.1,-3.83,-3.23,967.74
standings+market_ext,2,13,0.1,2.2,114,50.9,-3.84,-6.06,939.42
form_basic+form_adv+xg+market_ext,4,48,0.05,2.2,308,51.6,-3.84,-6.44,935.63
form_basic+form_adv+standings+rest,4,43,0.03,3.0,860,42.9,-3.84,-8.26,917.39
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.03,2.2,329,52.0,-3.85,-5.12,948.77
form_basic+xg+elo+market_ext,4,38,0.15,3.0,468,40.4,-3.85,-8.22,917.83
xg+standings,2,25,0.03,2.2,325,51.7,-3.86,-7.08,929.17
form_adv+xg+rest+market_ext,4,37,0.15,3.0,512,41.6,-3.87,-9.64,903.57
market_ext,1,5,0.08,3.0,634,40.9,-3.87,-6.83,931.74
form_adv+xg+standings+rest,4,43,0.03,2.2,355,52.1,-3.88,-5.8,941.99
form_basic+form_adv+xg+standings+rest,5,57,0.12,3.0,568,41.5,-3.89,-7.73,922.71
form_basic+xg+market_ext,3,33,0.12,3.0,564,41.7,-3.89,-7.44,925.55
elo+market_ext,2,10,0.2,3.0,349,41.0,-3.9,-8.03,919.71
xg+market_ext,2,19,0.1,99.0,1548,29.7,-3.9,-9.01,909.86
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.2,3.0,322,40.7,-3.9,-8.99,910.13
form_basic+market_ext,2,19,0.1,2.5,361,45.7,-3.92,-9.66,903.39
xg+market_ext,2,19,0.03,99.0,2014,31.6,-3.92,-8.15,918.48
form_adv+xg+elo+standings+market_ext,5,47,0.05,2.2,285,51.6,-3.92,-1.52,984.79
rest,1,6,0.2,3.0,282,40.1,-3.93,-5.09,949.05
form_adv+xg+rest+market_ext,4,37,0.03,2.2,364,51.6,-3.93,-8.62,913.85
form_basic+elo,2,22,0.12,2.2,144,50.0,-3.95,-5.28,947.2
form_basic+form_adv+xg+rest,4,49,0.15,2.5,256,45.7,-3.96,-8.39,916.1
form_basic+market_ext,2,19,0.05,3.0,804,42.5,-3.96,-11.63,883.67
rest,1,6,0.12,3.0,499,40.9,-3.97,-5.48,945.19
form_basic+standings+rest,3,28,0.05,2.5,464,46.3,-3.97,-8.31,916.85
form_basic+xg+standings+rest+market_ext,5,44,0.05,2.2,314,51.3,-3.98,-5.77,942.27
form_basic+form_adv,2,32,0.08,3.0,696,41.7,-3.98,-7.96,920.38
form_adv+xg+market_ext,3,34,0.03,99.0,1926,32.0,-3.99,-5.3,946.98
form_basic+form_adv+xg+standings,4,54,0.03,2.2,379,52.0,-4.0,-5.93,940.66
form_adv+xg+standings+rest,4,43,0.05,2.2,310,51.6,-4.01,-6.44,935.56
form_adv+xg+market_ext,3,34,0.2,2.5,188,45.2,-4.01,-8.56,914.43
form_adv+xg+standings,3,40,0.08,99.0,1780,29.6,-4.02,-6.12,938.79
form_basic+form_adv+xg+elo+rest+market_ext,6,56,0.05,2.2,264,51.1,-4.03,-6.62,933.81
form_basic+rest,2,20,0.15,2.5,240,45.0,-4.06,-8.01,919.85
elo+standings+market_ext,3,18,0.08,2.2,177,50.8,-4.07,-3.77,962.26
form_adv+rest+market_ext,3,23,0.08,2.2,210,51.4,-4.07,-2.99,970.1
form_basic+xg+rest+market_ext,4,36,0.08,2.2,259,51.4,-4.08,-6.0,939.95
form_basic+form_adv+elo+rest+market_ext,5,42,0.12,3.0,520,41.0,-4.08,-7.22,927.8
form_basic+elo+rest,3,25,0.05,3.0,730,42.5,-4.1,-7.34,926.56
form_basic,1,17,0.15,2.5,247,44.5,-4.1,-8.17,918.29
form_adv,1,18,0.03,99.0,2076,30.5,-4.11,-2.19,978.08
form_basic+form_adv+standings+market_ext,4,42,0.08,2.2,224,50.4,-4.12,-5.26,947.37
form_basic+form_adv+rest,3,35,0.08,3.0,681,41.9,-4.13,-6.35,936.53
form_basic+form_adv+xg,3,46,0.08,2.2,249,51.4,-4.14,-5.04,949.57
xg,1,17,0.12,2.2,190,50.5,-4.15,-6.51,934.92
form_basic+rest,2,20,0.1,2.2,179,50.3,-4.15,-6.32,936.78
form_adv+standings,2,26,0.15,2.2,96,50.0,-4.16,-5.86,941.35
form_basic+xg+elo+rest,4,39,0.08,2.2,219,51.1,-4.16,-5.81,941.88
form_basic+form_adv+xg+standings+rest+market_ext,6,59,0.03,2.2,361,51.8,-4.16,-7.48,925.19
form_adv+xg+elo+standings,4,45,0.08,2.2,232,51.3,-4.17,-3.85,961.47
form_basic+form_adv+standings,3,40,0.05,2.2,297,50.8,-4.17,-6.65,933.45
form_basic+xg+rest+market_ext,4,36,0.15,3.0,474,41.4,-4.17,-7.47,925.3
form_adv+xg+standings,3,40,0.1,99.0,1674,29.4,-4.17,-6.0,940.01
form_basic,1,17,0.08,2.2,226,50.0,-4.18,-8.71,912.88
standings+rest+market_ext,3,16,0.12,2.2,122,50.8,-4.18,-5.3,946.96
form_basic+xg+rest,3,34,0.03,2.2,344,51.5,-4.21,-7.18,928.2
form_basic+xg+elo+market_ext,4,38,0.12,3.0,544,40.8,-4.21,-8.23,917.66
xg,1,17,0.15,2.2,148,50.0,-4.22,-6.67,933.33
form_basic+xg+elo+standings,4,44,0.03,2.2,331,51.4,-4.22,-4.36,956.4
xg+market_ext,2,19,0.08,99.0,1660,30.1,-4.23,-8.01,919.85
form_basic+form_adv+xg+standings+market_ext,5,56,0.05,99.0,1988,30.1,-4.23,-9.98,900.17
standings+rest+market_ext,3,16,0.12,3.0,467,40.7,-4.23,-9.09,909.08
form_basic+form_adv+xg+elo+standings+market_ext,6,61,0.15,2.2,128,50.0,-4.25,-6.89,931.07
form_basic+market_ext,2,19,0.08,2.5,410,45.9,-4.25,-9.86,901.38
xg+elo+standings+market_ext,4,32,0.12,2.2,168,50.0,-4.25,-8.08,919.22
