features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
elo+standings,2,16,0.08,2.2,154,58.4,10.91,8.38,1083.77
form_basic+form_adv+xg+elo+standings+rest,6,62,0.15,2.5,267,52.1,10.9,10.18,1101.83
form_basic+xg+elo+standings+rest+market_ext,6,49,0.2,2.5,169,50.3,10.85,8.56,1085.65
form_adv+standings+rest+market_ext,4,31,0.2,3.0,338,45.9,10.84,9.8,1098.05
elo+standings,2,16,0.08,2.5,313,52.7,10.84,12.52,1125.22
form_basic+elo+standings+rest+market_ext,5,35,0.12,2.5,309,52.8,10.83,9.11,1091.13
form_basic+form_adv+elo+standings+rest,5,48,0.12,2.5,303,52.5,10.78,11.33,1113.27
elo+standings+rest,3,19,0.15,2.5,218,52.3,10.64,10.21,1102.08
form_adv+elo,2,23,0.1,2.2,135,57.8,10.62,9.51,1095.09
form_adv+elo+standings+rest,4,34,0.2,3.0,307,45.9,10.57,11.84,1118.42
form_adv+elo+standings+rest,4,34,0.12,2.2,132,57.6,10.55,7.43,1074.28
form_basic+form_adv+elo+standings,4,45,0.12,2.5,288,51.7,10.51,10.28,1102.78
xg+elo+standings,3,30,0.12,2.5,337,51.9,10.5,12.94,1129.38
form_adv+elo,2,23,0.15,2.2,77,57.1,10.49,8.64,1086.42
form_adv+xg+elo+standings+market_ext,5,47,0.2,3.0,357,46.5,10.45,12.51,1125.14
elo+standings,2,16,0.2,2.5,123,50.4,10.38,9.97,1099.67
form_adv+elo+standings,3,31,0.03,2.5,458,53.3,10.38,10.02,1100.19
form_adv+xg+elo+market_ext,4,39,0.1,2.5,312,52.9,10.31,10.09,1100.87
xg+elo+standings+market_ext,4,32,0.05,2.5,501,53.1,10.27,8.29,1082.9
form_adv+elo+standings+market_ext,4,33,0.03,2.5,479,53.0,10.26,11.55,1115.52
form_adv+xg+elo+standings,4,45,0.2,3.0,354,46.6,10.22,9.78,1097.85
form_basic+form_adv+elo,3,37,0.15,2.2,91,57.1,10.11,8.23,1082.31
form_basic+form_adv+elo+standings,4,45,0.2,2.5,153,50.3,10.11,8.85,1088.46
form_adv+elo+standings,3,31,0.15,2.2,90,57.8,10.11,7.6,1075.95
rest+market_ext,2,8,0.15,2.2,102,56.9,10.1,5.9,1059.0
xg+elo+standings,3,30,0.08,2.5,426,52.3,10.09,12.68,1126.77
form_basic+form_adv+elo+standings,4,45,0.1,2.5,328,51.8,10.06,9.88,1098.78
form_adv+standings+rest+market_ext,4,31,0.15,2.5,231,51.1,9.99,7.12,1071.15
elo+market_ext,2,10,0.15,2.5,236,51.7,9.96,11.25,1112.54
elo+standings+market_ext,3,18,0.2,2.5,132,50.8,9.95,9.76,1097.64
form_adv+elo,2,23,0.08,2.2,164,57.9,9.94,8.71,1087.12
form_adv+xg+elo+standings+rest,5,48,0.2,2.2,81,56.8,9.89,8.91,1089.09
form_basic+form_adv+elo+standings+rest,5,48,0.1,2.5,340,52.1,9.82,10.23,1102.32
form_adv+xg+standings,3,40,0.15,2.5,277,51.6,9.74,9.17,1091.65
elo,1,8,0.15,2.2,126,57.1,9.68,8.44,1084.37
elo+standings+rest+market_ext,4,21,0.2,2.2,62,56.5,9.67,7.47,1074.66
form_adv+elo+standings+rest+market_ext,5,36,0.1,2.5,296,51.7,9.63,12.42,1124.21
form_adv+rest+market_ext,3,23,0.15,2.5,237,51.5,9.61,6.49,1064.92
form_basic+elo+standings+market_ext,4,32,0.2,2.5,146,50.7,9.6,8.02,1080.22
form_adv+elo+standings+rest+market_ext,5,36,0.15,2.2,97,56.7,9.59,8.13,1081.31
form_adv+xg+elo+standings+market_ext,5,47,0.2,2.2,80,57.5,9.58,8.98,1089.79
form_adv+xg+elo+standings+market_ext,5,47,0.12,2.5,324,52.5,9.57,8.07,1080.74
xg+elo+market_ext,3,24,0.2,2.5,191,51.3,9.57,10.26,1102.62
form_adv+elo+standings+market_ext,4,33,0.05,2.2,225,57.8,9.56,6.37,1063.71
standings+rest,2,14,0.2,2.5,131,51.1,9.53,7.54,1075.41
form_adv+xg+elo+standings+rest,5,48,0.08,2.5,420,52.6,9.52,9.43,1094.29
form_adv+market_ext,2,20,0.15,2.2,77,57.1,9.52,6.84,1068.36
form_adv+elo+rest+market_ext,4,28,0.1,2.2,147,57.8,9.51,7.31,1073.08
form_basic+xg+elo+standings,4,44,0.15,2.5,255,51.0,9.49,7.75,1077.53
form_basic+xg+elo+standings+market_ext,5,46,0.08,2.5,412,52.7,9.47,7.25,1072.47
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.1,2.5,355,52.1,9.44,6.65,1066.48
form_adv+elo+market_ext,3,25,0.1,2.5,301,51.2,9.4,9.8,1098.04
form_basic+form_adv+elo+standings+market_ext,5,47,0.05,2.5,481,53.0,9.34,9.99,1099.9
form_basic+form_adv+elo+rest,4,40,0.2,2.2,68,57.4,9.33,7.23,1072.32
form_adv+xg+elo+standings+market_ext,5,47,0.15,2.5,263,52.1,9.33,9.32,1093.17
