date,league,outcome,actual,ws_dominant,ws_weak,ws_gap,odds,p_elo,won,fold
2024-12-14 14:00:00,Serie B,away,away,14,7,7,2.97,0.5021332816685826,True,2
2024-12-14 14:00:00,Serie B,away,away,141,8,133,1.93,0.6945181019471299,True,2
2024-12-14 14:30:00,Bundesliga,away,home,137,23,114,1.63,0.6455469606626383,False,2
2024-12-14 14:30:00,Bundesliga,away,away,131,9,122,1.65,0.6128871833941705,True,2
2024-12-14 14:30:00,Bundesliga,home,home,86,3,83,1.48,0.6626234796135375,True,2
2024-12-14 15:15:00,La Liga,away,home,24,5,19,2.97,0.5150663336901566,False,2
2024-12-14 15:30:00,Primeira Liga,away,away,24,13,11,2.87,0.5312858220346359,True,2
2024-12-14 17:00:00,Serie A,away,away,131,3,128,1.84,0.6495090002405481,True,2
2024-12-14 17:15:00,Jupiler Pro League,away,home,15,7,8,2.93,0.48226852576119184,False,2
2024-12-14 17:30:00,Bundesliga,away,away,76,2,74,2.65,0.5924464860040562,True,2
2024-12-14 17:30:00,La Liga,away,home,12,9,3,3.03,0.5140513948228714,False,2
2024-12-14 17:45:00,Eredivisie,away,home,133,12,121,1.31,0.7356759473615726,False,2
2024-12-14 18:00:00,Primeira Liga,away,home,86,6,80,2.45,0.621935922663109,False,2
2024-12-14 19:00:00,Eredivisie,home,home,69,10,59,1.76,0.6356804648400594,True,2
2024-12-14 19:45:00,Jupiler Pro League,away,away,37,15,22,3.81,0.5554202427597499,True,2
2024-12-14 20:00:00,Eredivisie,home,home,108,3,105,1.19,0.7012549548221347,True,2
2024-12-14 20:30:00,Primeira Liga,home,home,105,4,101,1.18,0.7069372225171506,True,2
2024-12-15 11:30:00,Serie A,away,home,15,11,4,3.03,0.4677908511215271,False,2
2024-12-15 12:30:00,Jupiler Pro League,home,home,53,41,12,1.67,0.48864412600808094,True,2
2024-12-15 13:00:00,La Liga,home,home,120,8,112,1.39,0.683694030492382,True,2
2024-12-15 13:30:00,Eredivisie,home,home,105,8,97,1.41,0.6409620519755101,True,2
2024-12-15 14:00:00,Serie A,home,away,42,13,29,2.15,0.5913969917716343,False,2
2024-12-15 14:00:00,Serie A,away,home,95,20,75,2.94,0.5931994361191683,False,2
2024-12-15 14:00:00,Serie B,home,away,21,12,9,1.81,0.4732068073905656,False,2
2024-12-15 14:30:00,Bundesliga,away,away,104,4,100,1.83,0.6509596430846092,True,2
2024-12-15 15:00:00,Jupiler Pro League,home,home,81,6,75,1.52,0.5822214715766452,True,2
2024-12-15 15:30:00,Primeira Liga,away,home,101,2,99,2.45,0.7080295833819441,False,2
2024-12-15 15:45:00,Eredivisie,home,home,103,4,99,1.24,0.7779274997360281,True,2
2024-12-15 16:00:00,Ligue 1,home,home,15,15,0,2.36,0.5055268922099412,True,2
2024-12-15 16:00:00,Ligue 1,home,home,16,14,2,1.7,0.4720508008352397,True,2
2024-12-15 16:00:00,Ligue 1,away,away,61,13,48,2.33,0.5543526226482312,True,2
2024-12-15 16:15:00,Serie B,away,away,49,7,42,3.61,0.5538334388953011,True,2
2024-12-15 17:00:00,Serie A,away,home,54,16,38,2.11,0.5469266708585991,False,2
2024-12-15 17:30:00,La Liga,home,away,37,2,35,2.02,0.5649847219712882,False,2
2024-12-15 17:30:00,Jupiler Pro League,away,away,119,10,109,2.11,0.6118559021919563,True,2
2024-12-15 18:30:00,Bundesliga,away,home,61,22,39,3.02,0.5572659549733952,False,2
2024-12-15 19:00:00,Eredivisie,away,away,69,12,57,2.22,0.5507499771469977,True,2
2024-12-15 19:45:00,Ligue 1,home,home,110,43,67,1.42,0.5773908642562069,True,2
2024-12-15 20:00:00,La Liga,home,away,104,12,92,1.17,0.6898586642573594,False,2
2024-12-15 20:30:00,Primeira Liga,home,away,12,1,11,2.97,0.5120123437211231,False,2
2024-12-16 19:45:00,Serie A,away,away,78,42,36,2.31,0.5360745247829908,True,2
2024-12-16 20:15:00,Primeira Liga,home,home,108,4,104,1.22,0.6946146022328737,True,2
2024-12-18 20:00:00,Ligue 1,away,away,125,38,87,1.85,0.6002165455619706,True,2
2024-12-20 19:30:00,Bundesliga,home,home,92,29,63,1.27,0.5676367989211929,True,2
2024-12-20 19:45:00,Serie A,away,away,125,9,116,1.69,0.6421437932429653,True,2
2024-12-20 20:00:00,La Liga,home,home,76,2,74,1.41,0.6104393105335034,True,2
2024-12-20 20:15:00,Primeira Liga,home,home,51,7,44,2.47,0.5811141157700008,True,2
2024-12-21 13:00:00,La Liga,away,away,66,7,59,4.12,0.5719564389962333,True,2
2024-12-21 14:00:00,Serie B,home,home,107,15,92,1.86,0.7022569827429821,True,2
2024-12-21 14:00:00,Serie A,away,away,91,4,87,2.54,0.61703347066538,True,2
2024-12-21 14:00:00,Serie B,home,home,11,11,0,2.54,0.5085298165477437,True,2
