label,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF1_%,KellyF2_%,MaxDD_F2_%,BK_all_$,Avg_ROI_%
"C: inj↓5, poss↓5",1.65,110,316,66,89,54.4,17.8,-3.9,20.3,-5.7,45.9,1169.89,7.0
"C: inj↓5, poss↓5",1.75,80,610,125,190,48.9,15.5,1.3,17.5,-2.1,51.3,1460.4,8.4
"C: inj↓5, poss↓5",1.75,90,475,96,154,50.9,20.8,-3.1,22.6,-6.8,47.0,2048.4,8.8
"C: inj↓5, poss↓5",1.75,110,206,46,61,51.5,14.3,-1.2,14.3,-3.4,38.5,1040.68,6.5
"C: inj↓5, poss↓5",1.9,80,488,101,150,48.2,17.7,6.8,18.6,5.1,41.7,2103.04,12.3
"C: inj↓5, poss↓5",1.9,90,357,72,116,51.0,25.7,4.0,26.0,1.2,40.1,3166.47,14.9
"C: inj↓5, poss↓5",1.9,110,119,28,34,53.8,16.6,24.5,16.1,22.9,24.0,1744.54,20.6
"C: inj↓5, poss↓5",2.0,80,398,83,123,46.5,20.1,5.2,21.3,3.1,38.9,1796.86,12.6
"C: inj↓5, poss↓5",2.0,90,277,56,91,49.8,34.1,0.9,34.6,-1.7,39.1,2844.05,17.5
"C: inj↓5, poss↓5",2.0,110,80,18,24,52.5,38.8,28.3,37.8,25.8,20.6,1583.03,33.6
"C: inj↓5, poss↓5",2.1,80,326,74,97,46.3,26.4,8.4,27.7,6.8,37.6,2166.01,17.4
"C: inj↓5, poss↓5",2.1,90,224,50,68,50.0,38.0,2.2,38.6,-0.5,34.0,3011.88,20.1
"C: inj↓5, poss↓5",2.1,110,64,18,19,56.2,38.8,30.3,37.8,27.8,17.2,1874.6,34.5
"C: inj↓5, poss↓5",2.2,80,249,58,72,46.2,24.5,10.7,24.3,9.1,30.4,2358.84,17.6
"C: inj↓5, poss↓5",2.2,90,160,36,46,50.6,38.4,5.0,38.4,2.1,29.0,2951.49,21.7
"C: inj↓5, poss↓5",2.2,110,37,12,11,64.9,37.3,48.2,34.8,44.5,11.5,2043.05,42.8
"C: inj↓5, poss↓5",2.4,80,129,28,40,40.3,2.7,2.7,-0.6,-0.5,25.6,1047.01,2.7
"C: inj↓5, poss↓5",2.4,90,65,11,23,44.6,20.7,11.3,18.9,8.2,11.5,1289.02,16.0
"C: inj↓5, poss↓5",2.6,80,61,12,19,34.4,14.2,1.6,11.1,-2.0,21.7,818.05,7.9
"C: inj↓5, poss↓5",2.6,90,21,4,8,28.6,44.5,7.5,42.7,3.4,15.1,829.07,26.0
"D: structural pure (inj=3,poss=0,xgr=0)",1.65,80,721,142,216,50.6,14.1,-1.5,17.5,-5.3,60.5,1290.9,6.3
"D: structural pure (inj=3,poss=0,xgr=0)",1.65,90,580,111,176,52.9,20.7,-4.0,23.7,-7.0,50.0,2269.44,8.3
"D: structural pure (inj=3,poss=0,xgr=0)",1.65,110,279,55,77,54.8,24.3,-1.8,26.2,-3.9,41.7,1184.66,11.2
"D: structural pure (inj=3,poss=0,xgr=0)",1.75,80,584,120,179,48.5,12.6,-1.0,14.4,-4.7,54.8,1032.1,5.8
"D: structural pure (inj=3,poss=0,xgr=0)",1.75,90,446,89,141,50.7,20.3,-4.1,21.9,-7.8,46.4,1749.05,8.1
"D: structural pure (inj=3,poss=0,xgr=0)",1.75,110,179,39,53,52.5,23.5,1.3,24.9,-0.7,36.9,1112.85,12.4
"D: structural pure (inj=3,poss=0,xgr=0)",1.9,80,463,96,139,47.7,14.3,4.4,14.9,1.9,46.6,1523.59,9.3
"D: structural pure (inj=3,poss=0,xgr=0)",1.9,90,332,65,106,50.3,25.5,2.3,25.6,-0.8,42.6,2463.85,13.9
"D: structural pure (inj=3,poss=0,xgr=0)",1.9,110,95,21,27,55.8,34.5,32.5,35.7,32.0,21.8,1778.09,33.5
"D: structural pure (inj=3,poss=0,xgr=0)",2.0,80,375,79,112,46.1,17.0,2.1,18.0,-0.5,45.6,1396.38,9.5
"D: structural pure (inj=3,poss=0,xgr=0)",2.0,90,257,50,83,48.6,32.4,-1.8,32.8,-4.4,41.7,2105.47,15.3
"D: structural pure (inj=3,poss=0,xgr=0)",2.0,110,64,14,19,53.1,47.0,37.6,46.1,34.9,21.4,1465.67,42.3
"D: structural pure (inj=3,poss=0,xgr=0)",2.1,80,304,70,87,45.7,23.3,3.5,24.8,0.9,39.2,1615.92,13.4
"D: structural pure (inj=3,poss=0,xgr=0)",2.1,90,210,44,65,49.5,36.6,3.7,37.0,1.0,36.7,2624.36,20.2
"D: structural pure (inj=3,poss=0,xgr=0)",2.1,110,48,14,14,58.3,47.0,43.6,46.1,41.3,14.7,1735.62,45.3
