date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-02-09 15:15:00,La Liga,home,home,True,1.83,0.6727527423782727,0.5454545454545455,0.23338002769349964,Fold1 (2H 2024-25)
2025-02-09 15:30:00,Primeira Liga,home,home,True,1.65,0.8291272411770662,0.607741694196846,0.3642757261747356,Fold1 (2H 2024-25)
2025-02-09 17:30:00,La Liga,home,home,True,1.63,0.75724585583019,0.6150206978119456,0.23125263673927998,Fold1 (2H 2024-25)
2025-02-09 20:30:00,Primeira Liga,home,home,True,1.99,0.6090433911366496,0.5030540935415163,0.21069165116809896,Fold1 (2H 2024-25)
2025-02-10 20:00:00,La Liga,home,draw,False,2.34,0.558651767226829,0.42654028436018954,0.3097280320540101,Fold1 (2H 2024-25)
2025-02-10 20:15:00,Primeira Liga,home,draw,False,2.14,0.6542804835984771,0.4674220963172804,0.3997637012743178,Fold1 (2H 2024-25)
2025-02-14 19:45:00,Ligue 1,home,draw,False,2.36,0.6028318916229852,0.423076923076923,0.4248753801997833,Fold1 (2H 2024-25)
2025-02-14 20:00:00,La Liga,home,away,False,2.05,0.6880803076212877,0.4877224600135166,0.41080299562627975,Fold1 (2H 2024-25)
2025-02-15 14:30:00,Bundesliga,home,away,False,2.28,0.6558989398808736,0.43940125543215836,0.49271066427833965,Fold1 (2H 2024-25)
2025-02-15 17:00:00,Primeira Liga,home,draw,False,2.38,0.5757433704798405,0.41929720071471116,0.3731152259029149,Fold1 (2H 2024-25)
2025-02-16 14:00:00,Serie A,home,home,True,2.01,0.5988746294454981,0.4963871326339193,0.20646686844552486,Fold1 (2H 2024-25)
2025-02-16 14:30:00,Bundesliga,home,away,False,1.95,0.6790811608436478,0.5129935875801552,0.32376149972350543,Fold1 (2H 2024-25)
2025-02-16 20:30:00,Primeira Liga,home,draw,False,2.34,0.6722992522463453,0.42669584245076586,0.575593632187589,Fold1 (2H 2024-25)
2025-02-17 20:15:00,Primeira Liga,home,away,False,2.41,0.5896148445811126,0.4146341463414634,0.42201227222503634,Fold1 (2H 2024-25)
2025-02-22 13:00:00,La Liga,home,away,False,1.9,0.6423809001560844,0.5250440022672354,0.22348012239386983,Fold1 (2H 2024-25)
2025-02-22 15:30:00,Primeira Liga,home,home,True,2.39,0.6241526279283632,0.41883568448241604,0.49020881231662816,Fold1 (2H 2024-25)
2025-02-22 18:00:00,Ligue 1,home,draw,False,2.42,0.7244259065305118,0.41257367387033406,0.7558704115430019,Fold1 (2H 2024-25)
2025-02-22 20:05:00,Ligue 1,away,home,False,1.64,0.7823465013407834,0.6098357297414951,0.2828807221125176,Fold1 (2H 2024-25)
2025-02-22 20:30:00,Primeira Liga,home,home,True,2.24,0.6515724050681198,0.4473684210526316,0.45645596426991486,Fold1 (2H 2024-25)
2025-02-23 20:00:00,La Liga,home,home,True,1.65,0.7654531328622665,0.6065715824726574,0.26193371892223616,Fold1 (2H 2024-25)
2025-02-24 20:00:00,La Liga,home,draw,False,2.12,0.6692490298217776,0.47058823529411764,0.4221541883712774,Fold1 (2H 2024-25)
2025-03-01 15:15:00,La Liga,home,draw,False,2.48,0.6028017752984696,0.403040304030403,0.4956364643199498,Fold1 (2H 2024-25)
2025-03-01 19:45:00,Serie A,home,home,True,1.9,0.7338198886127768,0.5257095980311731,0.395865495629135,Fold1 (2H 2024-25)
2025-03-01 20:30:00,Primeira Liga,home,home,True,1.96,0.8240566583160795,0.511293669135136,0.6117090980414228,Fold1 (2H 2024-25)
2025-03-02 19:45:00,Serie A,home,away,False,2.2,0.558651767226829,0.45434298440979953,0.2295815857100305,Fold1 (2H 2024-25)
2025-03-08 13:00:00,La Liga,home,home,True,1.61,0.81009092045512,0.6216758421199963,0.3030760817287086,Fold1 (2H 2024-25)
2025-03-08 14:00:00,Serie A,home,draw,False,1.65,0.7651509858805055,0.6043404859191114,0.26609254833692875,Fold1 (2H 2024-25)
2025-03-08 14:30:00,Bundesliga,home,away,False,1.61,0.7525314855400816,0.6217557060086298,0.2103330588969885,Fold1 (2H 2024-25)
2025-03-08 18:00:00,Primeira Liga,home,draw,False,2.41,0.5712339068200493,0.4146341463414634,0.37768177527188374,Fold1 (2H 2024-25)
2025-03-09 14:00:00,Ligue 1,home,home,True,1.71,0.8023261076809235,0.5835193829916785,0.3749776461022296,Fold1 (2H 2024-25)
2025-03-09 15:30:00,Primeira Liga,home,draw,False,2.13,0.5994715996752172,0.4698010849909584,0.2760115266373946,Fold1 (2H 2024-25)
2025-03-09 16:30:00,Bundesliga,home,draw,False,1.89,0.6626599115052726,0.5290697674418605,0.25250005251546015,Fold1 (2H 2024-25)
