ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
50,80,2.0,3.0,118,0.4830508474576271,12.016949152542374,190,0.4368421052631579,0.38947368421052525,6.2032114183764495
70,80,1.7,2.5,166,0.5542168674698795,12.32530120481928,255,0.49411764705882355,-0.7411764705882361,5.792062367115522
60,80,2.0,3.0,116,0.4827586206896552,11.965517241379311,182,0.4340659340659341,-0.6923076923076944,5.636604774535808
80,65,1.7,2.5,148,0.5540540540540541,11.743243243243242,216,0.49537037037037035,-0.5740740740740727,5.584584584584585
80,80,1.7,2.5,148,0.5540540540540541,11.743243243243242,216,0.49537037037037035,-0.5740740740740727,5.584584584584585
80,75,1.7,2.5,148,0.5540540540540541,11.743243243243242,216,0.49537037037037035,-0.5740740740740727,5.584584584584585
80,70,1.7,2.5,148,0.5540540540540541,11.743243243243242,216,0.49537037037037035,-0.5740740740740727,5.584584584584585
50,75,2.0,3.0,128,0.4765625,11.117187500000002,208,0.4326923076923077,-0.06730769230769365,5.524939903846154
50,65,2.0,3.0,140,0.4857142857142857,13.571428571428568,251,0.41832669322709165,-2.6334661354581694,5.468981217985199
80,85,1.7,2.5,145,0.5517241379310345,11.53793103448276,215,0.4930232558139535,-0.9953488372093011,5.27129109863673
60,70,2.0,3.0,126,0.48412698412698413,13.01587301587302,211,0.4218009478672986,-2.492890995260665,5.261491010306177
80,65,2.0,3.0,90,0.4888888888888889,11.622222222222227,130,0.43846153846153846,-1.1769230769230767,5.222649572649575
80,75,2.0,3.0,90,0.4888888888888889,11.622222222222227,130,0.43846153846153846,-1.1769230769230767,5.222649572649575
80,80,2.0,3.0,90,0.4888888888888889,11.622222222222227,130,0.43846153846153846,-1.1769230769230767,5.222649572649575
80,70,2.0,3.0,90,0.4888888888888889,11.622222222222227,130,0.43846153846153846,-1.1769230769230767,5.222649572649575
70,75,1.7,2.5,171,0.5497076023391813,11.116959064327487,263,0.49429657794676807,-0.878326996197718,5.119316034064885
50,85,2.0,3.0,107,0.48598130841121495,11.271028037383179,160,0.4375,-1.1687500000000013,5.051139018691589
100,75,2.0,2.5,35,0.5142857142857142,12.942857142857145,50,0.44,-2.8999999999999977,5.021428571428574
100,65,2.0,2.5,35,0.5142857142857142,12.942857142857145,50,0.44,-2.8999999999999977,5.021428571428574
100,80,2.0,2.5,35,0.5142857142857142,12.942857142857145,50,0.44,-2.8999999999999977,5.021428571428574
100,85,2.0,2.5,35,0.5142857142857142,12.942857142857145,50,0.44,-2.8999999999999977,5.021428571428574
100,70,2.0,2.5,35,0.5142857142857142,12.942857142857145,50,0.44,-2.8999999999999977,5.021428571428574
90,65,2.0,3.0,58,0.4827586206896552,7.637931034482757,90,0.45555555555555555,2.166666666666666,4.902298850574711
90,75,2.0,3.0,58,0.4827586206896552,7.637931034482757,90,0.45555555555555555,2.166666666666666,4.902298850574711
90,85,2.0,3.0,58,0.4827586206896552,7.637931034482757,90,0.45555555555555555,2.166666666666666,4.902298850574711
90,80,2.0,3.0,58,0.4827586206896552,7.637931034482757,90,0.45555555555555555,2.166666666666666,4.902298850574711
90,70,2.0,3.0,58,0.4827586206896552,7.637931034482757,90,0.45555555555555555,2.166666666666666,4.902298850574711
70,70,1.7,2.5,173,0.5491329479768786,11.132947976878613,265,0.49056603773584906,-1.6264150943396227,4.753266441269496
70,65,1.7,2.5,173,0.5491329479768786,11.132947976878613,265,0.49056603773584906,-1.6264150943396227,4.753266441269496
60,85,2.0,3.0,105,0.4857142857142857,11.200000000000001,156,0.4358974358974359,-1.8076923076923108,4.6961538461538455
70,85,1.7,2.5,156,0.5448717948717948,10.628205128205128,245,0.4897959183673469,-1.3836734693877533,4.622265829408687
60,75,2.0,3.0,123,0.4796747967479675,11.813008130081302,196,0.42346938775510207,-2.6734693877551017,4.5697693711631
60,80,1.7,2.5,175,0.5371428571428571,8.805714285714284,273,0.4945054945054945,0.025641025641025907,4.415677655677655
60,65,2.0,3.0,131,0.48091603053435117,12.51908396946565,222,0.4144144144144144,-4.126126126126127,4.196478921669762
70,80,1.7,3.0,189,0.5343915343915344,11.539682539682536,286,0.46853146853146854,-3.807692307692307,3.8659951159951147
50,80,1.7,2.5,179,0.5307262569832403,7.6592178770949735,278,0.49280575539568344,-0.20863309352518006,3.7252923917848966
60,85,1.7,2.5,161,0.5341614906832298,8.49689440993789,255,0.49019607843137253,-1.188235294117645,3.6543295579101223
70,75,1.7,3.0,195,0.5333333333333333,11.364102564102568,298,0.4664429530201342,-4.265100671140938,3.549500946480815
50,65,2.0,4.0,167,0.46107784431137727,13.233532934131734,293,0.3890784982935154,-6.283276450511941,3.4751282418098963
50,65,2.0,99.0,172,0.45348837209302323,12.558139534883717,301,0.3853820598006645,-5.674418604651159,3.441860465116279
50,85,1.7,2.5,164,0.5304878048780488,7.914634146341465,257,0.490272373540856,-1.1011673151750956,3.4067334155831848
80,85,1.7,3.0,159,0.5345911949685535,10.194968553459118,236,0.4703389830508475,-3.9067796610169494,3.144094446221084
