date,match_id,league,outcome,actual,ws_home,ws_away,ws_dominant,ws_weak,ws_gap,odds,p_elo,p_market,won
2024-08-19 18:45:00,1624,Serie A,home,home,23,2,23,2,21,1.57,0.5,0.6371481479804588,True
2024-08-19 19:15:00,6970,Primeira Liga,away,away,4,51,51,4,47,2.55,0.5230095872975623,0.39215686274509803,True
2024-08-23 17:00:00,877,La Liga,home,home,60,2,60,2,58,2.2,0.5459219227804837,0.45434298440979953,True
2024-08-23 18:30:00,6573,Serie B,home,home,16,15,16,15,1,2.32,0.5,0.43088803088803085,True
2024-08-23 18:30:00,1307,Bundesliga,away,away,1,32,32,1,31,1.64,0.5,0.6098741529525653,True
2024-08-23 18:45:00,2004,Ligue 1,home,home,71,18,71,18,53,1.29,0.5230095872975623,0.7780921584478576,True
2024-08-23 19:15:00,6971,Primeira Liga,away,away,6,142,142,6,136,1.26,0.5900507291156027,0.7936507936507936,True
2024-08-23 19:30:00,878,La Liga,away,away,16,18,18,16,2,3.03,0.5,0.33052039381153303,True
2024-08-24 11:30:00,483,Premier League,home,home,36,32,36,32,4,2.43,0.5,0.4120836560805577,True
2024-08-24 13:30:00,1310,Bundesliga,home,home,12,3,12,3,9,1.77,0.5,0.5653773669568339,True
2024-08-24 13:30:00,1311,Bundesliga,away,home,2,17,17,2,15,2.1,0.5,0.47707736389684813,False
2024-08-24 13:30:00,1308,Bundesliga,home,home,24,1,24,1,23,1.27,0.5,0.7851908251641764,True
2024-08-24 14:00:00,486,Premier League,home,home,83,3,83,3,80,1.13,0.5459219227804837,0.8814413018209996,True
2024-08-24 14:00:00,487,Premier League,away,away,10,16,16,10,6,3.26,0.5230095872975623,0.306420233463035,True
2024-08-24 14:00:00,488,Premier League,home,home,61,14,61,14,47,1.44,0.5230095872975623,0.6942607775720708,True
2024-08-24 14:00:00,484,Premier League,away,away,10,15,15,10,5,3.88,0.5,0.2574597306575125,True
2024-08-24 14:00:00,485,Premier League,away,home,13,21,21,13,8,4.1,0.5230095872975623,0.24414426863815383,False
2024-08-24 14:30:00,6972,Primeira Liga,away,away,3,51,51,3,48,2.78,0.5459219227804837,0.35931729713544264,True
2024-08-24 15:00:00,2005,Ligue 1,away,away,6,64,64,6,58,2.67,0.5459219227804837,0.374384236453202,True
2024-08-24 15:00:00,879,La Liga,away,home,10,19,19,10,9,3.26,0.5,0.30670926517571884,False
2024-08-24 16:30:00,1625,Serie A,away,home,14,69,69,14,55,1.71,0.5,0.5848930481283423,False
2024-08-24 16:30:00,489,Premier League,away,away,21,67,67,21,46,1.82,0.5,0.5503745604647607,True
2024-08-24 16:30:00,1313,Bundesliga,home,home,13,1,13,1,12,1.87,0.5,0.5360824742268041,True
2024-08-24 16:30:00,1626,Serie A,away,home,7,70,70,7,63,2.36,0.5230095872975623,0.42285270112708895,False
2024-08-24 16:45:00,5033,Eredivisie,home,home,32,16,32,16,16,1.76,0.5010551504762436,0.5674708261793209,True
2024-08-24 17:00:00,2006,Ligue 1,home,home,68,8,68,8,60,1.44,0.5459219227804837,0.6956875508543532,True
2024-08-24 17:00:00,6973,Primeira Liga,home,home,86,4,86,4,82,1.32,0.5459219227804837,0.7547169811320755,True
2024-08-24 17:00:00,880,La Liga,home,home,61,25,61,25,36,1.74,0.5230095872975623,0.5746381507885073,True
