gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,ev
80,50,1.8,424,0.6297169811320755,2.223419811320755,36.261792452830186,0.4001252113741547
80,60,1.8,424,0.6297169811320755,2.223419811320755,36.261792452830186,0.4001252113741547
80,70,1.8,424,0.6297169811320755,2.223419811320755,36.261792452830186,0.4001252113741547
80,80,1.8,424,0.6297169811320755,2.223419811320755,36.261792452830186,0.4001252113741547
60,80,1.8,539,0.614100185528757,2.3089795918367346,36.25417439703154,0.4179447957290523
60,70,1.8,670,0.6044776119402985,2.374044776119403,36.158208955223884,0.4350569169079972
70,60,1.8,566,0.6130742049469965,2.3153180212014135,35.994699646643106,0.4194617550475097
70,50,1.8,566,0.6130742049469965,2.3153180212014135,35.994699646643106,0.4194617550475097
70,70,1.8,566,0.6130742049469965,2.3153180212014135,35.994699646643106,0.4194617550475097
70,80,2.2,268,0.5485074626865671,2.5834328358208953,35.88059701492537,0.4170321897972822
70,80,1.8,513,0.6159844054580896,2.2881286549707602,35.643274853801174,0.4094515691437821
80,60,2.2,198,0.5555555555555556,2.51489898989899,35.62626262626263,0.39716610549943887
80,70,2.2,198,0.5555555555555556,2.51489898989899,35.62626262626263,0.39716610549943887
80,50,2.2,198,0.5555555555555556,2.51489898989899,35.62626262626263,0.39716610549943887
80,80,2.2,198,0.5555555555555556,2.51489898989899,35.62626262626263,0.39716610549943887
