ODDS_MIN,GAP_MIN,EV_MIN_%,N_all,WR_all_%,FlatROI_all_%,BK_all_$,N_F1,WR_F1_%,FlatROI_F1_%,KellyROI_F1_%,N_F2,WR_F2_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
2.2,120,25,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,18,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,10,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,7,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.2,120,15,18,61.1,41.6,1321.35,7,57.1,28.6,26.7,7,57.1,32.9,31.4,11.5,30.7
2.0,110,25,91,53.8,19.8,1873.91,24,62.5,41.0,40.4,28,53.6,17.7,15.8,20.6,29.3
2.0,110,12,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,7,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,18,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,15,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,20,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,5,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,3,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.0,110,10,95,52.6,16.9,1727.54,25,64.0,43.5,43.2,29,51.7,13.6,11.7,23.7,28.6
2.2,100,12,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,7,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,10,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,5,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,15,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,18,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,20,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,25,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
2.2,100,3,98,54.1,27.6,2635.32,26,61.5,45.8,43.9,30,43.3,4.8,2.0,24.9,25.3
1.9,120,25,60,55.0,16.5,1405.92,19,52.6,12.4,11.1,22,63.6,33.7,35.1,18.6,23.1
1.9,110,25,127,55.1,17.6,2173.93,34,58.8,27.7,27.9,38,55.3,17.2,16.6,24.3,22.4
2.2,90,12,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,3,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,7,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,25,179,49.7,18.3,3005.22,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,20,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,18,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,15,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,10,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
2.2,90,5,180,50.0,18.8,3149.47,41,56.1,33.1,33.5,57,45.6,11.0,8.9,20.0,22.0
1.9,110,20,140,54.3,15.0,2040.9,37,59.5,28.1,28.8,42,54.8,15.1,14.2,24.7,21.6
1.9,110,18,140,54.3,15.0,2040.9,37,59.5,28.1,28.8,42,54.8,15.1,14.2,24.7,21.6
2.4,110,10,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,3,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,5,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,12,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,15,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,18,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,20,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,25,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.4,110,7,12,50.0,25.8,1114.41,2,50.0,45.0,39.7,5,40.0,-3.0,-5.9,7.8,21.0
2.1,90,15,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,12,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,10,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,20,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,7,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,5,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,3,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
2.1,90,18,244,49.6,14.7,3213.91,55,58.2,34.1,35.3,79,45.6,6.9,4.8,28.4,20.5
1.9,110,15,141,53.9,14.2,1959.26,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,110,12,142,54.2,14.8,2023.39,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,110,10,142,54.2,14.8,2023.39,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,110,7,142,54.2,14.8,2023.39,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,110,5,142,54.2,14.8,2023.39,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,110,3,142,54.2,14.8,2023.39,37,59.5,28.1,28.8,43,53.5,12.4,11.5,24.7,20.3
1.9,120,12,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
2.1,90,25,241,49.4,14.3,3059.86,55,58.2,34.1,35.3,78,44.9,5.6,3.3,31.4,19.9
1.9,120,18,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,15,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,20,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,10,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,5,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,3,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
1.9,120,7,65,53.8,13.4,1335.55,20,50.0,6.8,5.0,25,64.0,32.9,33.7,18.6,19.9
2.1,100,3,151,49.7,13.8,1957.92,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
2.1,100,25,150,50.0,14.5,2039.5,38,60.5,39.0,37.9,47,42.6,-1.5,-4.5,36.6,18.7
