w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
5,0,3,15,2.1,110,54,16,15,57.4,42.4,49.3,47.9,14.7,45.9
5,0,5,15,2.1,110,55,16,15,56.4,42.4,49.3,47.9,14.7,45.9
5,0,0,15,2.1,110,52,16,15,57.7,42.4,49.3,47.9,14.7,45.9
3,5,8,15,2.2,110,34,10,11,64.7,42.8,48.2,44.5,11.5,45.5
3,3,8,15,2.2,110,34,10,11,64.7,42.8,48.2,44.5,11.5,45.5
3,0,0,15,2.1,110,48,14,14,58.3,47.0,43.6,41.3,14.7,45.3
3,0,5,15,2.1,110,51,14,14,56.9,47.0,43.6,41.3,14.7,45.3
3,7,5,15,2.2,110,34,11,10,64.7,51.2,39.5,36.6,11.5,45.3
3,0,3,15,2.1,110,50,14,14,58.0,47.0,43.6,41.3,14.7,45.3
3,7,3,15,2.2,110,34,11,10,64.7,51.2,39.5,36.6,11.5,45.3
0,0,8,15,2.2,110,29,10,8,65.5,42.8,47.5,44.0,11.5,45.2
0,0,8,15,2.1,110,54,16,14,57.4,42.4,44.6,42.5,11.2,43.5
3,10,8,15,2.2,110,38,11,12,65.8,51.2,35.8,32.6,11.5,43.5
10,7,8,15,2.2,110,41,14,12,65.9,50.6,35.8,32.0,14.2,43.2
7,10,8,15,2.2,110,41,14,12,65.9,50.6,35.8,32.6,11.5,43.2
5,10,8,15,2.2,110,41,14,12,65.9,50.6,35.8,32.6,11.5,43.2
3,7,0,8,2.1,110,52,13,17,57.7,54.1,31.8,29.7,18.1,42.9
7,5,8,15,2.2,110,38,12,11,65.8,37.3,48.2,44.5,11.5,42.8
10,0,8,15,2.2,110,36,12,11,63.9,37.3,48.2,44.5,11.5,42.8
5,5,8,15,2.2,110,37,12,11,64.9,37.3,48.2,44.5,11.5,42.8
5,3,8,15,2.2,110,36,12,11,63.9,37.3,48.2,44.5,11.5,42.8
7,3,8,15,2.2,110,37,12,11,64.9,37.3,48.2,44.5,11.5,42.8
5,0,8,15,2.0,110,75,18,21,53.3,38.8,46.7,44.5,17.2,42.7
7,10,8,15,2.6,90,24,4,10,33.3,44.5,40.8,35.2,15.1,42.6
5,0,5,15,2.2,110,31,11,9,61.3,29.8,55.0,52.6,11.5,42.4
5,0,3,15,2.2,110,31,11,9,61.3,29.8,55.0,52.6,11.5,42.4
7,0,5,15,2.2,110,31,11,9,61.3,29.8,55.0,52.6,11.5,42.4
5,0,0,15,2.2,110,30,11,9,60.0,29.8,55.0,52.6,11.5,42.4
7,0,0,15,2.2,110,30,11,9,60.0,29.8,55.0,52.6,11.5,42.4
7,0,3,15,2.2,110,31,11,9,61.3,29.8,55.0,52.6,11.5,42.4
3,0,8,15,2.0,110,71,16,20,53.5,42.4,42.5,39.6,17.2,42.4
0,0,3,15,2.1,110,49,14,13,57.1,47.0,37.7,35.9,14.7,42.3
3,7,0,15,2.1,110,56,15,17,57.1,52.9,31.8,29.7,18.1,42.3
3,0,5,15,2.0,110,67,14,19,52.2,47.0,37.6,34.9,21.4,42.3
5,0,0,15,2.0,110,68,16,20,52.9,42.4,42.2,40.2,21.4,42.3
3,0,3,15,2.0,110,66,14,19,53.0,47.0,37.6,34.9,21.4,42.3
5,0,3,15,2.0,110,70,16,20,52.9,42.4,42.2,40.2,21.4,42.3
7,7,0,8,2.1,110,55,15,18,58.2,48.2,36.4,34.8,18.1,42.3
3,0,0,15,2.0,110,64,14,19,53.1,47.0,37.6,34.9,21.4,42.3
0,0,5,15,2.1,110,50,14,13,56.0,47.0,37.7,35.9,14.7,42.3
0,0,0,15,2.1,110,47,14,13,57.4,47.0,37.7,35.9,14.7,42.3
5,0,5,15,2.0,110,71,16,20,52.1,42.4,42.2,40.2,21.4,42.3
7,7,5,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
7,7,5,15,2.2,110,37,13,10,64.9,44.8,39.5,36.6,11.5,42.2
7,10,5,15,2.6,90,21,4,8,33.3,44.5,40.0,33.8,11.5,42.2
5,7,3,15,2.2,110,37,13,10,64.9,44.8,39.5,36.6,11.5,42.2
5,7,5,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
5,7,5,15,2.2,110,37,13,10,64.9,44.8,39.5,36.6,11.5,42.2
7,10,0,15,2.6,90,21,4,8,33.3,44.5,40.0,33.8,11.5,42.2
7,7,8,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
5,7,3,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
7,10,3,15,2.6,90,21,4,8,33.3,44.5,40.0,33.8,11.5,42.2
7,7,3,15,2.2,110,37,13,10,64.9,44.8,39.5,36.6,11.5,42.2
7,7,3,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
5,7,8,8,2.2,110,32,11,10,65.6,44.8,39.5,36.6,11.5,42.2
7,7,0,15,2.1,110,60,17,18,58.3,47.8,36.4,34.8,18.1,42.1
0,5,8,15,2.2,110,33,10,10,63.6,42.8,41.0,37.9,11.5,41.9
3,7,0,15,2.2,110,32,10,10,62.5,44.3,39.5,36.6,11.5,41.9
3,7,0,8,2.2,110,28,8,10,64.3,44.1,39.5,36.6,11.5,41.8
3,7,0,8,2.0,110,65,13,22,53.8,54.1,29.3,27.0,21.5,41.7
0,7,8,8,2.2,110,28,9,9,64.3,52.6,30.6,28.0,11.5,41.6
0,7,3,8,2.2,110,28,9,9,64.3,52.6,30.6,28.0,11.5,41.6
0,7,5,8,2.2,110,28,9,9,64.3,52.6,30.6,28.0,11.5,41.6
