N,Дата,Ліга,Ставка_на,Проти,Сторона,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
29,2024-03-16,Premier League,Brentford,Burnley,AWAY,2.2,86,0.586,HOME,LOSS,1341.39,53.66,-53.66,1287.73,-4.0,28.8
30,2024-03-16,La Liga,Girona,Getafe,AWAY,2.2,81,0.691,HOME,LOSS,1287.73,51.51,-51.51,1236.22,-4.0,23.6
31,2024-03-17,Premier League,Aston Villa,West Ham,AWAY,2.6,83,0.585,DRAW,LOSS,1236.22,49.45,-49.45,1186.77,-4.0,18.7
32,2024-03-30,Premier League,Manchester United,Brentford,AWAY,2.2,117,0.717,DRAW,LOSS,1186.77,47.47,-47.47,1139.3,-4.0,13.9
33,2024-03-31,La Liga,Real Sociedad,Alaves,AWAY,2.2,101,0.592,AWAY,WIN,1139.3,45.57,54.68,1193.98,4.8,19.4
34,2024-04-02,Premier League,Fulham,Nottingham Forest,AWAY,2.6,80,0.629,HOME,LOSS,1193.98,47.76,-47.76,1146.22,-4.0,14.6
35,2024-04-04,La Liga,Valencia,Granada CF,AWAY,2.5,109,0.743,AWAY,WIN,1146.22,45.85,68.78,1215.0,6.0,21.5
36,2024-04-14,La Liga,Alaves,Granada CF,AWAY,2.6,101,0.673,HOME,LOSS,1215.0,48.6,-48.6,1166.4,-4.0,16.6
37,2024-04-24,Premier League,Newcastle,Crystal Palace,AWAY,2.2,94,0.624,HOME,LOSS,1166.4,46.66,-46.66,1119.74,-4.0,12.0
38,2024-05-03,Premier League,Everton,Luton,AWAY,2.4,111,0.679,DRAW,LOSS,1119.74,44.79,-44.79,1074.95,-4.0,7.5
39,2024-05-05,La Liga,Real Betis,Osasuna,AWAY,2.3,92,0.621,AWAY,WIN,1074.95,43.0,55.9,1130.85,5.2,13.1
40,2024-05-05,Premier League,Aston Villa,Brighton,AWAY,2.55,87,0.686,HOME,LOSS,1130.85,45.23,-45.23,1085.62,-4.0,8.6
41,2024-05-19,La Liga,Girona,Valencia,AWAY,2.2,113,0.673,AWAY,WIN,1085.62,43.42,52.1,1137.72,4.8,13.8
42,2024-05-25,La Liga,Villarreal,Osasuna,AWAY,2.35,100,0.642,DRAW,LOSS,1137.72,45.51,-45.51,1092.21,-4.0,9.2
43,2024-05-25,La Liga,Athletic Club,Rayo Vallecano,AWAY,2.38,89,0.681,AWAY,WIN,1092.21,43.69,60.29,1152.5,5.5,15.2
44,2024-08-24,Ligue 1,Monaco,Lyon,AWAY,2.55,82,0.546,AWAY,WIN,1152.5,46.1,71.45,1223.95,6.2,22.4
45,2024-08-25,Premier League,Newcastle,Bournemouth,AWAY,2.5,97,0.606,DRAW,LOSS,1223.95,48.96,-48.96,1174.99,-4.0,17.5
46,2024-08-31,Ligue 1,Marseille,Toulouse,AWAY,2.2,82,0.522,AWAY,WIN,1174.99,36.33,43.6,1218.59,3.7,21.9
47,2024-09-01,La Liga,Girona,Sevilla,AWAY,2.4,111,0.723,AWAY,WIN,1218.59,48.74,68.24,1286.83,5.6,28.7
48,2024-09-22,Ligue 1,Marseille,Lyon,AWAY,2.35,133,0.578,AWAY,WIN,1286.83,51.47,69.48,1356.31,5.4,35.6
49,2024-09-22,Ligue 1,Nantes,Angers,AWAY,2.4,102,0.582,DRAW,LOSS,1356.31,54.25,-54.25,1302.06,-4.0,30.2
50,2024-09-26,La Liga,Real Betis,Las Palmas,AWAY,2.2,106,0.709,DRAW,LOSS,1302.06,52.08,-52.08,1249.98,-4.0,25.0
51,2024-10-05,La Liga,Mallorca,Espanyol,AWAY,2.3,95,0.559,HOME,LOSS,1249.98,50.0,-50.0,1199.98,-4.0,20.0
52,2024-10-05,Ligue 1,Monaco,Rennes,AWAY,2.5,120,0.619,AWAY,WIN,1199.98,48.0,72.0,1271.98,6.0,27.2
53,2024-10-20,Serie A,Fiorentina,Lecce,AWAY,2.25,98,0.584,AWAY,WIN,1271.98,50.88,63.6,1335.58,5.0,33.6
54,2024-10-20,Ligue 1,Reims,Auxerre,AWAY,2.2,90,0.631,HOME,LOSS,1335.58,53.42,-53.42,1282.16,-4.0,28.2
55,2024-10-26,La Liga,Girona,Las Palmas,AWAY,2.55,88,0.741,HOME,LOSS,1282.16,51.29,-51.29,1230.87,-4.0,23.1
