N,Дата,Ліга,Ставка_на,Проти,Сторона,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
173,2026-02-03,Serie A,AC Milan,Bologna,AWAY,2.5,107,0.714,AWAY,WIN,3922.91,156.92,235.38,4158.29,6.0,315.8
174,2026-02-07,Bundesliga,Hamburger SV,1. FC Heidenheim,AWAY,2.4,97,0.635,AWAY,WIN,4158.29,166.33,232.86,4391.15,5.6,339.1
175,2026-02-07,Premier League,West Ham,Burnley,AWAY,2.2,88,0.612,AWAY,WIN,4391.15,175.65,210.78,4601.93,4.8,360.2
176,2026-02-07,Premier League,Aston Villa,Bournemouth,AWAY,2.35,81,0.646,DRAW,LOSS,4601.93,184.08,-184.08,4417.85,-4.0,341.8
177,2026-02-14,La Liga,Villarreal,Getafe,AWAY,2.25,109,0.785,HOME,LOSS,4417.85,176.71,-176.71,4241.14,-4.0,324.1
178,2026-02-15,La Liga,Athletic Club,Oviedo,AWAY,2.25,83,0.618,AWAY,WIN,4241.14,169.65,212.06,4453.2,5.0,345.3
179,2026-02-15,La Liga,Real Betis,Mallorca,AWAY,2.4,87,0.696,AWAY,WIN,4453.2,178.13,249.38,4702.58,5.6,370.3
180,2026-02-16,Primeira Liga,Moreirense,Rio Ave,AWAY,2.25,92,0.568,AWAY,WIN,4702.58,188.1,235.12,4937.7,5.0,393.8
181,2026-02-21,Bundesliga,Bayer Leverkusen,Union Berlin,AWAY,2.38,118,0.73,HOME,LOSS,4937.7,197.51,-197.51,4740.19,-4.0,374.0
182,2026-02-22,Ligue 1,Rennes,Auxerre,AWAY,2.4,100,0.662,AWAY,WIN,4740.19,189.61,265.45,5005.64,5.6,400.6
183,2026-02-28,La Liga,Real Sociedad,Mallorca,AWAY,2.3,89,0.613,AWAY,WIN,5005.64,200.23,260.3,5265.94,5.2,426.6
184,2026-03-04,Premier League,Manchester United,Newcastle,AWAY,2.55,90,0.635,HOME,LOSS,5265.94,210.64,-210.64,5055.3,-4.0,405.5
185,2026-03-06,La Liga,Real Madrid,Celta Vigo,AWAY,2.25,84,0.715,AWAY,WIN,5055.3,202.21,252.76,5308.06,5.0,430.8
186,2026-03-07,Bundesliga,Bayer Leverkusen,SC Freiburg,AWAY,2.38,86,0.627,DRAW,LOSS,5308.06,212.32,-212.32,5095.74,-4.0,409.6
187,2026-03-13,La Liga,Villarreal,Alaves,AWAY,2.2,95,0.787,DRAW,LOSS,5095.74,203.83,-203.83,4891.91,-4.0,389.2
188,2026-03-15,Serie A,Genoa,Hellas Verona,AWAY,2.4,134,0.665,AWAY,WIN,4891.91,195.68,273.95,5165.86,5.6,416.6
189,2026-03-21,Premier League,Chelsea,Everton,AWAY,2.25,82,0.567,HOME,LOSS,5165.86,206.63,-206.63,4959.23,-4.0,395.9
190,2026-04-05,Serie A,Bologna,Cremonese,AWAY,2.25,130,0.6,AWAY,WIN,4959.23,198.37,247.96,5207.19,5.0,420.7
