gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,flat10_bank,flat10_pnl,flat20_bank,flat20_pnl,flat50_bank,flat50_pnl,kelly1_bank,kelly1_pnl,kelly1_roi,kelly2_bank,kelly2_pnl,kelly2_roi,kelly3_bank,kelly3_pnl,kelly3_roi,kelly4_bank,kelly4_pnl,kelly4_roi,kelly6_bank,kelly6_pnl,kelly6_roi,kelly8_bank,kelly8_pnl,kelly8_roi,kelly10_bank,kelly10_pnl,kelly10_roi
40,70,2.2,215,0.5674418604651162,2.742093023255814,46.06046511627907,1990.3,990.3,2980.6,1980.6,5951.5,4951.5,2636.76,1636.76,43.99,6674.25,5674.25,41.88,16233.02,15233.02,39.83,37969.11,36969.11,37.87,187056.19,186056.19,34.77,673448.52,672448.52,33.01,1419032.12,1418032.12,30.19
40,60,2.0,353,0.5835694050991501,2.6622946175637394,46.025495750708224,2624.7,1624.7,4249.4,3249.4,9123.5,8123.5,4912.48,3912.48,42.22,22618.65,21618.65,38.72,98268.94,97268.94,35.7,400263.61,399263.61,32.97,5460033.13,5459033.13,28.46,41151081.91,41150081.91,25.04,145576630.99,145575630.99,21.88
40,50,2.2,316,0.5443037974683544,2.8398417721518987,45.93354430379747,2451.5,1451.5,3903.0,2903.0,8257.5,7257.5,4128.94,3128.94,38.52,15963.12,14963.12,32.25,57842.36,56842.36,27.26,194919.75,193919.75,23.27,1881264.17,1880264.17,17.71,11130893.56,11129893.56,14.52,35638440.31,35637440.31,12.79
60,80,2.0,218,0.6192660550458715,2.430275229357798,45.779816513761475,1998.0,998.0,2996.0,1996.0,5990.0,4990.0,2666.95,1666.95,45.36,6876.71,5876.71,44.95,17243.0,16243.0,44.58,41653.77,40653.77,44.01,220488.95,219488.95,43.54,870679.06,869679.06,44.08,2139524.0,2138524.0,42.9
60,50,2.2,212,0.5660377358490566,2.727783018867925,45.735849056603776,1969.6,969.6,2939.2,1939.2,5848.0,4848.0,2584.31,1584.31,42.38,6418.7,5418.7,38.96,15334.47,14334.47,35.69,35264.98,34264.98,32.66,174036.24,173036.24,27.86,641056.75,640056.75,24.58,1418939.71,1417939.71,21.72
60,60,2.2,212,0.5660377358490566,2.727783018867925,45.735849056603776,1969.6,969.6,2939.2,1939.2,5848.0,4848.0,2584.31,1584.31,42.38,6418.7,5418.7,38.96,15334.47,14334.47,35.69,35264.98,34264.98,32.66,174036.24,173036.24,27.86,641056.75,640056.75,24.58,1418939.71,1417939.71,21.72
60,70,2.2,193,0.5751295336787565,2.6845595854922286,45.49222797927461,1878.0,878.0,2756.0,1756.0,5390.0,4390.0,2364.31,1364.31,43.13,5400.06,4400.06,40.82,11922.65,10922.65,38.64,25462.28,24462.28,36.61,108480.3,107480.3,33.53,352775.96,351775.96,31.78,707792.06,706792.06,29.31
40,50,2.0,414,0.5772946859903382,2.657777777777778,44.96376811594203,2861.5,1861.5,4723.0,3723.0,10307.5,9307.5,6187.99,5187.99,40.4,35470.44,34470.44,36.4,189529.47,188529.47,33.11,937124.9,936124.9,30.25,18607406.97,18606406.97,25.83,175265262.13,175264262.13,22.93,718124721.65,718123721.65,21.19
50,80,2.0,224,0.6116071428571429,2.4444196428571425,44.26785714285714,1991.6,991.6,2983.2,1983.2,5958.0,4958.0,2648.62,1648.62,43.77,6775.83,5775.83,43.41,16840.29,15840.29,43.19,40283.6,39283.6,42.81,206137.82,205137.82,42.73,774652.97,773652.97,43.52,1813624.64,1812624.64,42.4
40,80,2.0,229,0.6069868995633187,2.4797379912663753,44.24890829694322,2013.3,1013.3,3026.6,2026.6,6066.5,5066.5,2704.32,1704.32,44.1,7051.59,6051.59,44.07,17833.86,16833.86,44.1,43341.98,42341.98,43.89,227905.49,226905.49,43.89,875124.01,874124.01,44.64,2041790.0,2040790.0,43.41
50,50,1.8,494,0.6255060728744939,2.42419028340081,44.159919028340084,3181.5,2181.5,5363.0,4363.0,11907.5,10907.5,8520.45,7520.45,38.41,66339.18,65339.18,34.33,481054.37,480054.37,31.41,3097839.96,3096839.96,29.01,79285773.46,79284773.46,25.3,805258145.63,805257145.63,22.97,3143363030.99,3143362030.99,21.32
70,50,1.8,313,0.6517571884984026,2.2701277955271566,44.105431309904155,2380.5,1380.5,3761.0,2761.0,7902.5,6902.5,3892.21,2892.21,41.61,14483.67,13483.67,39.65,51861.71,50861.71,38.04,170651.24,169651.24,36.47,1350927.31,1349927.31,34.32,6775368.74,6774368.74,34.16,19546990.24,19545990.24,32.78
70,60,1.8,313,0.6517571884984026,2.2701277955271566,44.105431309904155,2380.5,1380.5,3761.0,2761.0,7902.5,6902.5,3892.21,2892.21,41.61,14483.67,13483.67,39.65,51861.71,50861.71,38.04,170651.24,169651.24,36.47,1350927.31,1349927.31,34.32,6775368.74,6774368.74,34.16,19546990.24,19545990.24,32.78
70,70,1.8,313,0.6517571884984026,2.2701277955271566,44.105431309904155,2380.5,1380.5,3761.0,2761.0,7902.5,6902.5,3892.21,2892.21,41.61,14483.67,13483.67,39.65,51861.71,50861.71,38.04,170651.24,169651.24,36.47,1350927.31,1349927.31,34.32,6775368.74,6774368.74,34.16,19546990.24,19545990.24,32.78
50,70,2.0,279,0.5949820788530465,2.543655913978495,44.06093189964158,2229.3,1229.3,3458.6,2458.6,7146.5,6146.5,3339.02,2339.02,43.39,10641.44,9641.44,42.78,32569.53,31569.53,42.26,95064.39,94064.39,41.58,723733.38,722733.38,40.72,3750174.74,3749174.74,40.64,9783063.66,9782063.66,38.51
50,60,1.8,467,0.6252676659528907,2.4244111349036404,43.768736616702355,3044.0,2044.0,5088.0,4088.0,11220.0,10220.0,7443.75,6443.75,38.96,50872.72,49872.72,35.55,325313.05,324313.05,33.12,1869925.89,1868925.89,31.07,38773792.78,38772792.78,27.69,358682014.64,358681014.64,25.51,1308972322.7,1308971322.7,23.21
40,70,2.0,289,0.5916955017301038,2.569826989619377,43.754325259515575,2264.5,1264.5,3529.0,2529.0,7322.5,6322.5,3454.58,2454.58,43.72,11364.57,10364.57,43.59,35824.35,34824.35,43.33,107465.11,106465.11,42.75,851172.79,850172.79,41.74,4421102.23,4420102.23,41.46,11553304.38,11552304.38,39.22
