N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
191,2025-01-25,Ligue 1,Lille,Strasbourg,2.35,90,0.66,HOME,LOSS,649.24,25.97,-25.97,623.27,-4.0,-37.7
192,2025-01-26,Serie A,AS Roma,Udinese,2.25,94,0.602,AWAY,WIN,623.27,24.93,31.16,654.43,5.0,-34.6
193,2025-01-26,Ligue 1,Stade Brestois 29,Le Havre,2.25,107,0.742,AWAY,WIN,654.43,26.18,32.73,687.16,5.0,-31.3
194,2025-01-26,Bundesliga,Eintracht Frankfurt,1899 Hoffenheim,2.15,138,0.694,DRAW,LOSS,687.16,27.49,-27.49,659.67,-4.0,-34.0
195,2025-02-01,Bundesliga,RB Leipzig,Union Berlin,2.45,87,0.739,DRAW,LOSS,659.67,26.39,-26.39,633.28,-4.0,-36.7
196,2025-02-02,Serie B,Cremonese,Salernitana,2.45,133,0.734,HOME,LOSS,633.28,25.33,-25.33,607.95,-4.0,-39.2
197,2025-02-02,Serie A,Napoli,AS Roma,2.45,90,0.67,DRAW,LOSS,607.95,24.32,-24.32,583.63,-4.0,-41.6
198,2025-02-02,La Liga,Athletic Club,Real Betis,2.35,123,0.67,DRAW,LOSS,583.63,23.35,-23.35,560.28,-4.0,-44.0
199,2025-02-08,Eredivisie,GO Ahead Eagles,Heracles,2.25,98,0.628,HOME,LOSS,560.28,22.41,-22.41,537.87,-4.0,-46.2
200,2025-02-08,Primeira Liga,Santa Clara,AVS,2.1,91,0.621,AWAY,WIN,537.87,21.51,23.66,561.53,4.4,-43.8
201,2025-02-15,Serie B,Spezia,Modena,2.15,107,0.657,DRAW,LOSS,561.53,22.46,-22.46,539.07,-4.0,-46.1
202,2025-02-16,Serie B,Pisa,Cesena,2.45,104,0.676,DRAW,LOSS,539.07,21.56,-21.56,517.51,-4.0,-48.2
203,2025-02-16,Serie A,AS Roma,Parma,2.15,126,0.722,AWAY,WIN,517.51,20.7,23.8,541.31,4.6,-45.9
204,2025-02-16,Bundesliga,FSV Mainz 05,1. FC Heidenheim,2.1,121,0.718,AWAY,WIN,541.31,21.65,23.82,565.13,4.4,-43.5
205,2025-02-21,Serie B,Sassuolo,Sampdoria,2.25,107,0.702,DRAW,LOSS,565.13,22.61,-22.61,542.52,-4.0,-45.7
206,2025-02-22,La Liga,Atletico Madrid,Valencia,2.15,98,0.767,AWAY,WIN,542.52,21.7,24.95,567.47,4.6,-43.3
207,2025-02-23,Serie A,Napoli,Como,2.25,123,0.746,HOME,LOSS,567.47,22.7,-22.7,544.77,-4.0,-45.5
208,2025-02-23,Ligue 1,Lens,Nantes,2.1,120,0.644,HOME,LOSS,544.77,21.79,-21.79,522.98,-4.0,-47.7
209,2025-02-23,Serie B,Palermo,Cosenza,2.4,83,0.592,AWAY,WIN,522.98,20.92,29.29,552.27,5.6,-44.8
210,2025-02-23,Primeira Liga,Santa Clara,Estrela,2.15,92,0.689,DRAW,LOSS,552.27,22.09,-22.09,530.18,-4.0,-47.0
211,2025-02-23,Jupiler Pro League,Cercle Brugge,Kortrijk,2.1,114,0.662,DRAW,LOSS,530.18,21.21,-21.21,508.97,-4.0,-49.1
212,2025-02-28,Jupiler Pro League,Genk,Charleroi,2.5,82,0.709,DRAW,LOSS,508.97,20.36,-20.36,488.61,-4.0,-51.1
213,2025-03-01,Bundesliga,Borussia Mönchengladbach,1. FC Heidenheim,2.35,132,0.686,AWAY,WIN,488.61,19.54,26.38,514.99,5.4,-48.5
214,2025-03-02,Eredivisie,AZ Alkmaar,Heerenveen,2.1,125,0.657,HOME,LOSS,514.99,20.6,-20.6,494.39,-4.0,-50.6
215,2025-03-07,Ligue 1,Monaco,Toulouse,2.2,95,0.607,DRAW,LOSS,494.39,19.78,-19.78,474.61,-4.0,-52.5
