N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
172,2025-04-12,Bundesliga,FSV Mainz 05,1899 Hoffenheim,2.55,94,0.654,HOME,LOSS,1531.72,61.27,-61.27,1470.45,-4.0,47.0
173,2025-04-12,Ligue 1,Lille,Toulouse,2.55,80,0.633,AWAY,WIN,1470.45,58.82,91.17,1561.62,6.2,56.2
174,2025-04-19,Serie A,Como,Lecce,2.2,125,0.662,AWAY,WIN,1561.62,62.46,74.95,1636.57,4.8,63.7
175,2025-04-21,La Liga,Real Betis,Girona,2.55,90,0.663,AWAY,WIN,1636.57,65.46,101.46,1738.03,6.2,73.8
176,2025-04-23,Serie A,Lazio,Genoa,2.15,85,0.638,AWAY,WIN,1738.03,69.52,79.95,1817.98,4.6,81.8
177,2025-04-26,Bundesliga,Borussia Mönchengladbach,Holstein Kiel,2.38,115,0.662,HOME,LOSS,1817.98,72.72,-72.72,1745.26,-4.0,74.5
178,2025-05-03,La Liga,Atletico Madrid,Alaves,2.15,103,0.732,DRAW,LOSS,1745.26,69.81,-69.81,1675.45,-4.0,67.5
179,2025-05-03,Serie A,Como,Parma,2.15,105,0.584,AWAY,WIN,1675.45,67.02,77.07,1752.52,4.6,75.3
180,2025-05-03,Bundesliga,Werder Bremen,Union Berlin,2.35,105,0.588,DRAW,LOSS,1752.52,70.1,-70.1,1682.42,-4.0,68.2
181,2025-05-04,Bundesliga,Bayer Leverkusen,SC Freiburg,2.25,83,0.745,DRAW,LOSS,1682.42,67.3,-67.3,1615.12,-4.0,61.5
182,2025-05-10,Bundesliga,FSV Mainz 05,VfL Bochum,2.3,99,0.71,AWAY,WIN,1615.12,64.6,83.98,1699.1,5.2,69.9
183,2025-05-10,Bundesliga,SC Freiburg,Holstein Kiel,2.1,111,0.676,AWAY,WIN,1699.1,67.96,74.76,1773.86,4.4,77.4
184,2025-05-10,La Liga,Villarreal,Girona,2.38,115,0.682,AWAY,WIN,1773.86,70.95,97.91,1871.77,5.5,87.2
185,2025-05-15,La Liga,Atletico Madrid,Osasuna,2.1,103,0.686,HOME,LOSS,1871.77,74.87,-74.87,1796.9,-4.0,79.7
186,2025-05-15,La Liga,Real Betis,Rayo Vallecano,2.3,90,0.639,DRAW,LOSS,1796.9,71.88,-71.88,1725.02,-4.0,72.5
187,2025-05-15,La Liga,Athletic Club,Getafe,2.5,103,0.755,AWAY,WIN,1725.02,69.0,103.5,1828.52,6.0,82.9
188,2025-05-17,Bundesliga,Werder Bremen,1. FC Heidenheim,2.5,92,0.648,AWAY,WIN,1828.52,73.14,109.71,1938.23,6.0,93.8
189,2025-05-17,Serie A,Atalanta,Genoa,2.25,131,0.738,AWAY,WIN,1938.23,77.53,96.91,2035.14,5.0,103.5
190,2025-05-17,Ligue 1,Monaco,Lens,2.2,115,0.651,HOME,LOSS,2035.14,81.41,-81.41,1953.73,-4.0,95.4
191,2025-05-18,La Liga,Real Madrid,Sevilla,2.15,137,0.825,AWAY,WIN,1953.73,78.15,89.87,2043.6,4.6,104.4
192,2025-05-18,La Liga,Leganes,Las Palmas,2.38,83,0.577,AWAY,WIN,2043.6,81.74,112.8,2156.4,5.5,115.6
193,2025-05-18,Serie A,Como,Hellas Verona,2.4,136,0.68,DRAW,LOSS,2156.4,86.26,-86.26,2070.14,-4.0,107.0
194,2025-05-25,La Liga,Atletico Madrid,Girona,2.2,116,0.744,AWAY,WIN,2070.14,82.81,99.37,2169.51,4.8,117.0
195,2025-05-25,Serie A,Fiorentina,Udinese,2.25,102,0.684,AWAY,WIN,2169.51,86.78,108.47,2277.98,5.0,127.8
196,2025-08-17,Ligue 1,Strasbourg,Metz,2.1,88,0.747,AWAY,WIN,2277.98,91.12,100.23,2378.21,4.4,137.8
197,2025-08-23,La Liga,Celta Vigo,Mallorca,2.45,111,0.592,DRAW,LOSS,2378.21,95.13,-95.13,2283.08,-4.0,128.3
198,2025-08-30,Bundesliga,Eintracht Frankfurt,1899 Hoffenheim,2.45,103,0.688,AWAY,WIN,2283.08,91.32,132.41,2415.49,5.8,141.5
199,2025-08-30,Premier League,Everton,Wolves,2.3,87,0.63,AWAY,WIN,2415.49,96.62,125.61,2541.1,5.2,154.1
200,2025-08-30,Ligue 1,Lille,Lorient,2.2,99,0.775,AWAY,WIN,2541.1,101.64,121.97,2663.07,4.8,166.3
201,2025-08-31,La Liga,Villarreal,Celta Vigo,2.45,105,0.7,DRAW,LOSS,2663.07,106.52,-106.52,2556.55,-4.0,155.7
202,2025-08-31,Ligue 1,Nice,Le Havre,2.15,85,0.731,HOME,LOSS,2556.55,102.26,-102.26,2454.29,-4.0,145.4
203,2025-08-31,Serie A,Fiorentina,Torino,2.3,102,0.656,DRAW,LOSS,2454.29,98.17,-98.17,2356.12,-4.0,135.6
204,2025-09-13,Bundesliga,VfB Stuttgart,SC Freiburg,2.55,95,0.553,HOME,LOSS,2356.12,94.24,-94.24,2261.88,-4.0,126.2
205,2025-09-23,La Liga,Villarreal,Sevilla,2.3,97,0.757,AWAY,WIN,2261.88,90.48,117.62,2379.5,5.2,137.9
206,2025-09-27,Bundesliga,FC Augsburg,1. FC Heidenheim,2.45,93,0.59,HOME,LOSS,2379.5,95.18,-95.18,2284.32,-4.0,128.4
207,2025-09-27,Bundesliga,Eintracht Frankfurt,Borussia Mönchengladbach,2.2,119,0.683,AWAY,WIN,2284.32,91.37,109.64,2393.96,4.8,139.4
208,2025-10-05,Premier League,Brighton,Wolves,2.1,102,0.707,DRAW,LOSS,2393.96,95.76,-95.76,2298.2,-4.0,129.8
209,2025-10-05,Serie A,AS Roma,Fiorentina,2.45,119,0.689,AWAY,WIN,2298.2,91.93,133.3,2431.5,5.8,143.1
210,2025-10-18,Premier League,Chelsea,Nottingham Forest,2.1,114,0.67,AWAY,WIN,2431.5,97.26,106.99,2538.49,4.4,153.8
211,2025-10-18,Bundesliga,VfB Stuttgart,VfL Wolfsburg,2.35,124,0.67,AWAY,WIN,2538.49,101.54,137.08,2675.57,5.4,167.6
212,2025-10-18,Bundesliga,Bayer Leverkusen,FSV Mainz 05,2.6,104,0.752,AWAY,WIN,2675.57,107.02,171.23,2846.8,6.4,184.7
213,2025-10-18,Premier League,Leeds,Burnley,2.2,86,0.697,HOME,LOSS,2846.8,113.87,-113.87,2732.93,-4.0,173.3
214,2025-10-19,Serie A,Juventus,Como,2.38,91,0.651,HOME,LOSS,2732.93,109.32,-109.32,2623.61,-4.0,162.4
215,2025-10-26,Serie A,Juventus,Lazio,2.25,110,0.607,HOME,LOSS,2623.61,104.94,-104.94,2518.67,-4.0,151.9
216,2025-10-29,Ligue 1,Lyon,Paris FC,2.55,84,0.68,DRAW,LOSS,2518.67,100.75,-100.75,2417.92,-4.0,141.8
217,2025-11-02,Ligue 1,Lyon,Stade Brestois 29,2.15,118,0.647,DRAW,LOSS,2417.92,96.72,-96.72,2321.2,-4.0,132.1
218,2025-11-09,Ligue 1,Toulouse,Lorient,2.4,105,0.653,DRAW,LOSS,2321.2,92.85,-92.85,2228.35,-4.0,122.8
219,2025-11-09,Ligue 1,Nice,Metz,2.25,105,0.764,HOME,LOSS,2228.35,89.13,-89.13,2139.22,-4.0,113.9
